Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0.00;0.00;0.05;100040.00;318.22;0.73;0.40;1.00;3.09;0.03;0.07;-10.00;4.69;493.82;0.01;332.19;;;100.04
0.00;0.00;0.10;200060.00;208.71;0.80;0.52;1.00;3.89;0.04;0.11;-10.00;6.10;535.76;0.01;527.39;;;200.06
0.00;0.00;0.15;300090.00;164.87;0.82;0.61;1.00;4.49;0.05;0.14;-10.00;7.15;557.75;0.01;699.07;;;300.09
0.00;0.00;0.20;400110.00;141.44;0.84;0.68;1.00;4.98;0.06;0.16;-10.00;8.03;573.74;0.01;858.67;;;400.11
0.00;0.00;0.26;500140.00;127.34;0.86;0.72;1.00;5.37;0.06;0.18;-10.00;8.79;587.88;0.01;1009.51;;;500.14
0.00;0.00;0.31;600170.00;117.51;0.87;0.77;1.00;5.72;0.07;0.20;-10.00;9.49;599.75;0.01;1156.89;;;600.17
0.00;0.00;0.36;700130.00;110.26;0.88;0.80;1.00;6.03;0.08;0.21;-10.00;10.13;609.78;0.01;1300.89;;;700.13
0.00;0.00;0.41;800040.00;104.70;0.89;0.83;1.00;6.33;0.08;0.22;-10.00;10.74;618.77;0.01;1445.72;;;800.04
0.00;0.00;0.46;900020.00;100.27;0.90;0.85;1.00;6.61;0.09;0.23;-10.00;11.31;626.66;0.02;1588.36;;;900.02
0.00;0.00;0.51;1000000.00;96.71;0.92;0.87;1.00;6.87;0.10;0.24;-10.00;11.86;634.14;0.02;1732.32;;;1000.00
0.00;0.00;0.56;1100000.00;93.78;0.93;0.89;1.00;7.12;0.10;0.25;-10.00;12.40;641.06;0.02;1878.66;;;1100.00
0.00;0.00;0.61;1200000.00;91.31;0.94;0.91;1.00;7.37;0.11;0.25;-10.00;12.94;647.20;0.02;2027.59;;;1200.00
0.00;0.00;0.66;1300000.00;89.20;0.95;0.92;1.00;7.62;0.12;0.26;-10.00;13.46;652.94;0.02;2180.15;;;1300.00
0.00;0.00;0.71;1400000.00;87.50;0.96;0.94;1.00;7.86;0.12;0.27;-10.00;13.98;658.75;0.02;2336.72;;;1400.00
0.00;0.00;0.77;1500000.00;86.20;0.96;0.95;1.00;8.08;0.13;0.27;-10.00;14.50;664.89;0.02;2497.75;;;1500.00
0.00;0.00;0.82;1600000.00;85.12;0.97;0.97;1.00;8.31;0.14;0.27;-10.00;15.01;670.95;0.02;2662.26;;;1600.00
0.00;0.00;0.87;1700000.00;84.31;0.98;0.98;1.00;8.52;0.14;0.28;-10.00;15.51;677.45;0.02;2828.48;;;1700.00
0.00;0.00;0.92;1800000.00;83.64;0.99;0.99;1.00;8.73;0.15;0.28;-10.00;16.01;683.77;0.02;2998.73;;;1800.00
0.00;0.00;0.97;1900000.00;83.11;1.00;1.00;1.00;8.93;0.16;0.28;-10.00;16.51;689.98;0.02;3175.35;;;1900.00
0.00;0.00;1.02;2000000.00;82.69;1.00;1.01;1.00;9.14;0.17;0.28;-10.00;17.01;696.15;0.02;3355.99;;;2000.00
0.00;0.10;0.05;100040.00;316.93;0.73;0.40;1.00;3.10;0.03;0.07;-10.00;4.70;493.87;0.01;229.05;;;100.04
0.00;0.10;0.10;200060.00;208.21;0.80;0.52;1.00;3.90;0.04;0.11;-10.00;6.10;535.95;0.01;397.85;;;200.06
0.00;0.10;0.15;300040.00;164.53;0.82;0.61;1.00;4.50;0.05;0.14;-10.00;7.15;557.96;0.01;549.03;;;300.04
0.00;0.10;0.20;400050.00;141.18;0.84;0.67;1.00;4.98;0.06;0.16;-10.00;8.04;573.94;0.01;693.23;;;400.05
0.00;0.10;0.25;500020.00;127.10;0.86;0.72;1.00;5.37;0.06;0.18;-10.00;8.79;588.02;0.01;830.46;;;500.02
0.00;0.10;0.30;600010.00;117.30;0.87;0.77;1.00;5.72;0.07;0.20;-10.00;9.49;599.90;0.01;966.01;;;600.01
0.00;0.10;0.36;700010.00;110.06;0.88;0.80;1.00;6.04;0.08;0.21;-10.00;10.13;609.95;0.01;1099.52;;;700.01
0.00;0.10;0.41;800000.00;104.51;0.89;0.83;1.00;6.34;0.08;0.22;-10.00;10.74;618.95;0.01;1234.44;;;800.00
0.00;0.10;0.46;900000.00;100.08;0.90;0.85;1.00;6.61;0.09;0.23;-10.00;11.31;626.81;0.02;1367.84;;;900.00
0.00;0.10;0.51;1000000.00;96.54;0.91;0.87;1.00;6.87;0.10;0.24;-10.00;11.87;634.30;0.02;1503.25;;;1000.00
0.00;0.10;0.56;1100000.00;93.63;0.93;0.89;1.00;7.13;0.10;0.25;-10.00;12.41;641.24;0.02;1641.12;;;1100.00
0.00;0.10;0.61;1200000.00;91.17;0.94;0.90;1.00;7.37;0.11;0.25;-10.00;12.94;647.44;0.02;1781.69;;;1200.00
0.00;0.10;0.66;1300000.00;89.08;0.95;0.92;1.00;7.62;0.12;0.26;-10.00;13.47;653.20;0.02;1926.04;;;1300.00
0.00;0.10;0.71;1400000.00;87.35;0.96;0.93;1.00;7.86;0.12;0.27;-10.00;13.99;658.87;0.02;2074.97;;;1400.00
0.00;0.10;0.76;1500000.00;86.06;0.96;0.95;1.00;8.09;0.13;0.27;-10.00;14.51;665.03;0.02;2228.39;;;1500.00
0.00;0.10;0.81;1600000.00;84.96;0.97;0.96;1.00;8.32;0.14;0.27;-10.00;15.02;670.94;0.02;2385.89;;;1600.00
0.00;0.10;0.86;1700000.00;84.16;0.98;0.98;1.00;8.53;0.14;0.28;-10.00;15.52;677.44;0.02;2545.20;;;1700.00
0.00;0.10;0.91;1800000.00;83.49;0.99;0.99;1.00;8.74;0.15;0.28;-10.00;16.02;683.76;0.02;2708.63;;;1800.00
0.00;0.10;0.96;1900000.00;82.96;0.99;1.00;1.00;8.94;0.16;0.28;-10.00;16.52;689.97;0.02;2878.35;;;1900.00
