Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.06;100040;321.8;0.75;0.41;1;3.02;0.03;0.07;0;4.65;509.58;0.01;327.6;;;100.04
0;0;0.11;200060;211.14;0.81;0.53;1;3.8;0.04;0.11;0;6.04;552.92;0.01;520.01;;;200.06
0;0;0.17;300090;166.81;0.83;0.62;1;4.38;0.05;0.14;0;7.08;575.71;0.01;689.14;;;300.09
0;0;0.23;400110;142.98;0.85;0.68;1;4.86;0.06;0.16;0;7.96;592.03;0.01;847.07;;;400.11
0;0;0.28;500140;128.75;0.87;0.73;1;5.24;0.06;0.18;0;8.71;606.63;0.01;996.61;;;500.14
0;0;0.34;600170;118.78;0.88;0.78;1;5.58;0.07;0.2;0;9.4;618.78;0.01;1141.48;;;600.17
0;0;0.4;700320;111.41;0.9;0.81;1;5.89;0.08;0.21;0;10.03;629.15;0.01;1283.87;;;700.32
0;0;0.45;800220;105.77;0.91;0.84;1;6.18;0.08;0.22;0;10.63;638.34;0.02;1426.24;;;800.22
0;0;0.51;900320;101.26;0.92;0.86;1;6.45;0.09;0.23;0;11.2;646.47;0.02;1567.34;;;900.32
0;0;0.57;1000300;97.66;0.93;0.88;1;6.7;0.1;0.24;0;11.75;654.12;0.02;1708.89;;;1000.3
0;0;0.62;1100400;94.68;0.94;0.9;1;6.95;0.1;0.24;0;12.28;661.25;0.02;1853.02;;;1100.4
0;0;0.68;1200300;92.2;0.95;0.92;1;7.19;0.11;0.25;0;12.81;667.62;0.02;1999.73;;;1200.3
0;0;0.74;1300600;90.07;0.96;0.93;1;7.43;0.12;0.26;0;13.33;673.53;0.02;2150.42;;;1300.6
0;0;0.79;1400400;88.32;0.97;0.95;1;7.66;0.12;0.26;0;13.85;679.28;0.02;2304.83;;;1400.4
0;0;0.85;1500400;87;0.98;0.96;1;7.88;0.13;0.27;0;14.35;685.57;0.02;2463.08;;;1500.4
0;0;0.9;1600400;85.87;0.99;0.98;1;8.11;0.14;0.27;0;14.86;691.6;0.02;2625.35;;;1600.4
0;0;0.96;1700400;85.04;0.99;0.99;1;8.31;0.14;0.27;0;15.35;698.17;0.02;2788.87;;;1700.4
0.00;0.00;1.00;1770700.00;84.57;1.00;1.00;1.00;8.45;0.15;0.27;0.00;15.70;702.74;0.02;2907.39;;;
0;0;1.02;1799600;84.38;1;1;1;8.51;0.15;0.27;0;15.84;704.62;0.02;2956.12;;;1799.6
0;0.1;0.06;100040;320.49;0.74;0.41;1;3.02;0.03;0.07;0;4.66;509.63;0.01;225.15;;;100.04
0;0.1;0.11;200060;210.62;0.81;0.53;1;3.8;0.04;0.11;0;6.05;553.11;0.01;391.4;;;200.06
0;0.1;0.17;300040;166.45;0.83;0.61;1;4.39;0.05;0.14;0;7.09;575.92;0.01;540.26;;;300.04
0;0.1;0.23;400050;142.71;0.85;0.68;1;4.86;0.06;0.16;0;7.96;592.23;0.01;682.75;;;400.05
0;0.1;0.28;500020;128.48;0.87;0.73;1;5.25;0.06;0.18;0;8.72;606.75;0.01;818.59;;;500.02
0;0.1;0.34;600010;118.56;0.88;0.77;1;5.59;0.07;0.2;0;9.4;618.93;0.01;951.93;;;600.01
0;0.1;0.39;700020;111.27;0.9;0.81;1;5.89;0.08;0.21;0;10.04;629.38;0.01;1084.63;;;700.02
0;0.1;0.45;800010;105.6;0.91;0.84;1;6.18;0.08;0.22;0;10.64;638.51;0.02;1216.47;;;800.01
0;0.1;0.51;900010;101.15;0.92;0.86;1;6.45;0.09;0.23;0;11.21;646.73;0.02;1349.34;;;900.01
0;0.1;0.56;1000000;97.55;0.93;0.88;1;6.71;0.1;0.24;0;11.76;654.35;0.02;1482.53;;;1000
0;0.1;0.62;1100000;94.59;0.94;0.9;1;6.95;0.1;0.25;0;12.29;661.49;0.02;1618.37;;;1100
0;0.1;0.67;1200000;92.09;0.95;0.92;1;7.19;0.11;0.25;0;12.81;667.86;0.02;1755.6;;;1200
0;0.1;0.73;1300000;90.01;0.96;0.93;1;7.43;0.12;0.26;0;13.34;673.85;0.02;1899.41;;;1300
0;0.1;0.79;1400000;88.21;0.97;0.95;1;7.67;0.12;0.26;0;13.85;679.5;0.02;2044.68;;;1400
0;0.1;0.84;1500000;86.91;0.98;0.96;1;7.89;0.13;0.27;0;14.36;685.76;0.02;2197.08;;;1500
0;0.1;0.9;1600000;85.79;0.99;0.98;1;8.11;0.14;0.27;0;14.87;691.8;0.02;2351.95;;;1600
0;0.1;0.96;1700000;84.9;0.99;0.99;1;8.32;0.14;0.27;0;15.36;698.16;0.02;2507.55;;;1700
0;0.1;1.01;1800000;84.24;1;1;1;8.52;0.15;0.28;0;15.85;704.69;0.02;2669.66;;;1800
0;0.2;0.06;100040;316.52;0.74;0.4;1;3.04;0.03;0.07;0;4.67;509.75;0.01;122.19;;;100.04
0;0.2;0.11;200020;208.65;0.81;0.52;1;3.82;0.04;0.11;0;6.05;553.39;0.01;261.72;;;200.02
0;0.2;0.17;300020;165.28;0.83;0.61;1;4.4;0.05;0.14;0;7.09;576.53;0.01;391.24;;;300.02
0;0.2;0.22;400010;141.68;0.85;0.67;1;4.87;0.06;0.16;0;7.97;592.68;0.01;516.97;;;400.01
0;0.2;0.28;500000;127.57;0.87;0.72;1;5.26;0.06;0.18;0;8.73;607.08;0.01;640.56;;;500
0;0.2;0.33;600000;117.8;0.88;0.77;1;5.6;0.07;0.2;0;9.41;619.38;0.01;762.46;;;600
0;0.2;0.39;700000;110.55;0.89;0.8;1;5.91;0.08;0.21;0;10.05;629.81;0.01;883.96;;;700
0;0.2;0.44;800000;104.98;0.91;0.83;1;6.2;0.08;0.22;0;10.65;639.03;0.02;1006.87;;;800
0;0.2;0.5;900000;100.56;0.92;0.85;1;6.47;0.09;0.23;0;11.22;647.22;0.02;1129.67;;;900
0;0.2;0.55;1000000;96.98;0.93;0.88;1;6.72;0.1;0.24;0;11.77;654.77;0.02;1254.29;;;1000
0;0.2;0.61;1100000;94.07;0.94;0.9;1;6.97;0.1;0.25;0;12.3;661.95;0.02;1381.71;;;1100
0;0.2;0.66;1200000;91.66;0.95;0.91;1;7.21;0.11;0.25;0;12.82;668.56;0.02;1511.84;;;1200
0;0.2;0.72;1300000;89.59;0.96;0.93;1;7.45;0.12;0.26;0;13.34;674.55;0.02;1646.33;;;1300
0;0.2;0.78;1400000;87.82;0.97;0.94;1;7.68;0.12;0.26;0;13.86;680.21;0.02;1785.04;;;1400
0;0.2;0.83;1500000;86.44;0.98;0.96;1;7.91;0.13;0.27;0;14.38;686.09;0.02;1929.13;;;1500
0;0.2;0.89;1600000;85.34;0.98;0.97;1;8.13;0.14;0.27;0;14.88;692.16;0.02;2076.57;;;1600
0;0.2;0.94;1700000;84.42;0.99;0.99;1;8.35;0.14;0.27;0;15.39;698.12;0.02;2227.83;;;1700
0;0.2;1;1800000;83.75;1;1;1;8.55;0.15;0.28;0;15.88;704.57;0.02;2381.78;;;1800
0;0.2;1.05;1900000;83.23;1.01;1.01;1;8.75;0.16;0.28;0;16.37;710.92;0.02;2541.72;;;1900
0;0.3;0.05;100040;309.94;0.74;0.4;1;3.07;0.03;0.07;0;4.69;509.99;0.01;17.43;;;100.04
0;0.3;0.11;200020;205.4;0.8;0.51;1;3.84;0.04;0.11;0;6.07;553.92;0.01;131.11;;;200.02
0;0.3;0.16;300020;163.39;0.83;0.59;1;4.42;0.05;0.14;0;7.11;577.62;0.01;241.29;;;300.02
0;0.3;0.22;400010;140.03;0.85;0.66;1;4.9;0.06;0.17;0;7.98;593.53;0.01;350.89;;;400.01
0;0.3;0.27;500000;126.06;0.86;0.71;1;5.29;0.06;0.18;0;8.75;607.71;0.01;461.39;;;500
0;0.3;0.32;600000;116.52;0.88;0.75;1;5.63;0.07;0.2;0;9.43;620.07;0.01;572.17;;;600
0;0.3;0.38;700000;109.41;0.89;0.79;1;5.94;0.08;0.21;0;10.07;630.6;0.01;683.14;;;700
0;0.3;0.43;800000;103.96;0.9;0.82;1;6.22;0.08;0.22;0;10.67;639.91;0.01;796.39;;;800
0;0.3;0.49;900000;99.62;0.91;0.84;1;6.49;0.09;0.23;0;11.24;648.1;0.02;910.19;;;900
0;0.3;0.54;1000000;96.11;0.92;0.87;1;6.75;0.1;0.24;0;11.79;655.63;0.02;1026.34;;;1000
0;0.3;0.59;1100000;93.25;0.93;0.89;1;7;0.1;0.25;0;12.32;662.78;0.02;1145.61;;;1100
0;0.3;0.65;1200000;90.89;0.95;0.9;1;7.23;0.11;0.26;0;12.85;669.47;0.02;1267.57;;;1200
0;0.3;0.7;1300000;88.91;0.96;0.92;1;7.47;0.12;0.26;0;13.36;675.75;0.02;1394.01;;;1300
0;0.3;0.76;1400000;87.19;0.96;0.93;1;7.7;0.12;0.27;0;13.88;681.51;0.02;1524.75;;;1400
0;0.3;0.81;1500000;85.77;0.97;0.95;1;7.94;0.13;0.27;0;14.4;687.02;0.02;1661.76;;;1500
0;0.3;0.86;1600000;84.65;0.98;0.96;1;8.17;0.14;0.27;0;14.91;692.82;0.02;1802.32;;;1600
0;0.3;0.92;1700000;83.73;0.99;0.98;1;8.39;0.14;0.28;0;15.42;698.71;0.02;1946.57;;;1700
0;0.3;0.97;1800000;82.98;1;0.99;1;8.6;0.15;0.28;0;15.92;704.51;0.02;2095.2;;;1800
0;0.3;1.03;1900000;82.49;1;1;1;8.8;0.16;0.28;0;16.42;710.86;0.02;2248.88;;;1900
0;0.4;0.16;300020;160.59;0.83;0.58;1;4.44;0.05;0.14;0;7.13;579;0.01;89.56;;;300.02
0;0.4;0.21;400000;137.77;0.84;0.64;1;4.93;0.06;0.17;0;8.01;594.87;0.01;182.99;;;400
0;0.4;0.26;500000;123.88;0.86;0.69;1;5.33;0.06;0.19;0;8.77;608.62;0.01;279.92;;;500
0;0.4;0.31;600000;114.64;0.87;0.73;1;5.66;0.07;0.2;0;9.46;620.84;0.01;379.33;;;600
0;0.4;0.37;700000;107.8;0.89;0.77;1;5.97;0.08;0.22;0;10.09;631.63;0.01;480.22;;;700
0;0.4;0.42;800000;102.48;0.9;0.81;1;6.26;0.08;0.23;0;10.7;641.06;0.01;583.89;;;800
0;0.4;0.47;900000;98.28;0.91;0.83;1;6.53;0.09;0.24;0;11.27;649.31;0.02;688.72;;;900
0;0.4;0.52;1000000;94.88;0.92;0.85;1;6.79;0.09;0.24;0;11.82;656.89;0.02;796.53;;;1000
0;0.4;0.58;1100000;92.09;0.93;0.87;1;7.04;0.1;0.25;0;12.36;663.96;0.02;907.6;;;1100
0;0.4;0.63;1200000;89.8;0.94;0.89;1;7.27;0.11;0.26;0;12.88;670.65;0.02;1021.73;;;1200
0;0.4;0.68;1300000;87.9;0.95;0.91;1;7.51;0.11;0.26;0;13.39;677.08;0.02;1140.26;;;1300
0;0.4;0.73;1400000;86.29;0.96;0.93;1;7.74;0.12;0.27;0;13.91;683.2;0.02;1263.24;;;1400
0;0.4;0.78;1500000;84.92;0.97;0.94;1;7.97;0.13;0.27;0;14.43;688.83;0.02;1392.24;;;1500
0;0.4;0.84;1600000;83.75;0.98;0.95;1;8.21;0.13;0.28;0;14.95;694.18;0.02;1525.76;;;1600
0;0.4;0.89;1700000;82.79;0.99;0.96;1;8.44;0.14;0.28;0;15.46;699.64;0.02;1663.55;;;1700
0;0.4;0.94;1800000;82.05;0.99;0.98;1;8.65;0.15;0.28;0;15.97;705.38;0.02;1805.24;;;1800
0;0.4;0.99;1900000;81.46;1;0.99;1;8.87;0.15;0.28;0;16.48;711;0.02;1953.5;;;1900
0;0.4;1.05;2000000;81.08;1.01;1;1;9.08;0.16;0.29;0;16.98;717;0.02;2105.67;;;2000
0;0.5;0.2;400010;134.98;0.84;0.62;1;4.96;0.05;0.17;0;8.03;596.85;0.01;12.7;;;400.01
0;0.5;0.25;500000;121.29;0.85;0.67;1;5.37;0.06;0.19;0;8.8;610.06;0.01;95.57;;;500
0;0.5;0.3;600000;112.18;0.87;0.71;1;5.72;0.07;0.21;0;9.5;621.96;0.01;183.23;;;600
0;0.5;0.35;700000;105.63;0.88;0.75;1;6.02;0.07;0.22;0;10.13;632.63;0.01;274.01;;;700
0;0.5;0.4;800000;100.61;0.9;0.78;1;6.31;0.08;0.23;0;10.74;642.42;0.01;369;;;800
0;0.5;0.45;900000;96.52;0.91;0.81;1;6.58;0.09;0.24;0;11.31;650.76;0.01;464.12;;;900
0;0.5;0.51;1000000;93.28;0.92;0.83;1;6.84;0.09;0.25;0;11.86;658.44;0.02;563.67;;;1000
0;0.5;0.56;1100000;90.59;0.93;0.85;1;7.09;0.1;0.26;0;12.4;665.55;0.02;666.61;;;1100
0;0.5;0.61;1200000;88.38;0.94;0.87;1;7.32;0.11;0.26;0;12.92;672.19;0.02;772.94;;;1200
0;0.5;0.66;1300000;86.54;0.94;0.89;1;7.56;0.11;0.27;0;13.44;678.56;0.02;883.76;;;1300
0;0.5;0.71;1400000;85.03;0.95;0.91;1;7.79;0.12;0.27;0;13.95;684.8;0.02;999.19;;;1400
0;0.5;0.76;1500000;83.77;0.96;0.92;1;8.02;0.13;0.28;0;14.47;690.81;0.02;1120.39;;;1500
0;0.5;0.81;1600000;82.68;0.97;0.94;1;8.25;0.13;0.28;0;14.99;696.46;0.02;1246.34;;;1600
0;0.5;0.86;1700000;81.73;0.98;0.95;1;8.49;0.14;0.28;0;15.51;701.71;0.02;1376.76;;;1700
0;0.5;0.91;1800000;80.91;0.99;0.96;1;8.72;0.15;0.29;0;16.02;706.75;0.02;1512.03;;;1800
0;0.5;0.96;1900000;80.33;1;0.98;1;8.94;0.15;0.29;0;16.54;712.23;0.02;1653.25;;;1900
0;0.5;1.01;2000000;79.9;1;0.99;1;9.16;0.16;0.29;0;17.05;717.75;0.02;1799.32;;;2000
0;0.6;0.34;700000;102.91;0.88;0.72;1;6.09;0.07;0.23;0;10.18;633.9;0.01;62.9;;;700
0;0.6;0.39;800000;98.14;0.89;0.75;1;6.38;0.08;0.24;0;10.78;643.61;0.01;147.77;;;800
0;0.6;0.44;900000;94.34;0.9;0.78;1;6.64;0.08;0.25;0;11.35;652.25;0.01;234.95;;;900
0;0.6;0.48;1000000;91.25;0.91;0.81;1;6.9;0.09;0.25;0;11.91;660.21;0.01;326.54;;;1000
0;0.6;0.53;1100000;88.72;0.92;0.83;1;7.15;0.1;0.26;0;12.45;667.41;0.02;421.24;;;1100
0;0.6;0.58;1200000;86.64;0.93;0.85;1;7.39;0.1;0.27;0;12.97;674.11;0.02;520.25;;;1200
0;0.6;0.63;1300000;84.88;0.94;0.87;1;7.62;0.11;0.27;0;13.49;680.48;0.02;622.64;;;1300
0;0.6;0.68;1400000;83.42;0.95;0.89;1;7.86;0.12;0.28;0;14.01;686.61;0.02;730.97;;;1400
0;0.6;0.73;1500000;82.25;0.96;0.9;1;8.09;0.12;0.28;0;14.53;692.67;0.02;844.6;;;1500
0;0.6;0.78;1600000;81.25;0.97;0.92;1;8.32;0.13;0.29;0;15.04;698.56;0.02;962.87;;;1600
0;0.6;0.82;1700000;80.42;0.97;0.93;1;8.55;0.14;0.29;0;15.56;704.21;0.02;1086.16;;;1700
0;0.6;0.87;1800000;79.67;0.98;0.95;1;8.78;0.14;0.29;0;16.08;709.53;0.02;1213.72;;;1800
0;0.6;0.92;1900000;79.08;0.99;0.96;1;9.01;0.15;0.29;0;16.6;714.59;0.02;1348.28;;;1900
0;0.6;0.97;2000000;78.57;1;0.97;1;9.24;0.16;0.3;0;17.13;719.45;0.02;1487.88;;;2000
0;0.6;1.02;2100000;78.2;1.01;0.98;1;9.46;0.16;0.3;0;17.64;724.61;0.02;1631.11;;;2100
304.8;0;0.06;100040;315.36;0.75;0.41;1;2.95;0.03;0.07;0;4.55;508.72;0.01;323.98;;;100.04
304.8;0;0.12;200020;206.92;0.81;0.53;1;3.72;0.04;0.11;0;5.91;551.62;0.01;514.73;;;200.02
304.8;0;0.17;300020;163.56;0.83;0.62;1;4.3;0.05;0.14;0;6.94;574.12;0.01;683.37;;;300.02
304.8;0;0.23;400010;140.53;0.85;0.69;1;4.76;0.06;0.17;0;7.8;590.72;0.01;840.02;;;400.01
304.8;0;0.29;500000;126.65;0.87;0.74;1;5.13;0.06;0.18;0;8.54;605.29;0.01;988.73;;;500
304.8;0;0.35;600000;116.96;0.88;0.78;1;5.47;0.07;0.2;0;9.22;617.54;0.01;1134.49;;;600
304.8;0;0.4;700000;109.8;0.9;0.82;1;5.77;0.08;0.21;0;9.84;627.79;0.01;1276.12;;;700
304.8;0;0.46;800000;104.32;0.91;0.84;1;6.06;0.08;0.22;0;10.44;637.05;0.02;1419.39;;;800
304.8;0;0.52;900000;99.95;0.92;0.87;1;6.33;0.09;0.23;0;11;645.15;0.02;1560.12;;;900
