Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.050630093;100040;258.5021;0.7078;0.38001;0.99712;2.4467;0.02586;0.089705;-10;4.355;472.57;0.011744;247.05;;;100.04
0;0;0.101250063;200060;170.2542;0.77823;0.49616;0.99781;3.1238;0.034061;0.1362018;-10;5.72;513.32;0.012115;398.95;;;200.06
0;0;0.151880156;300100;135.8101;0.80678;0.58247;0.99822;3.633;0.040756;0.1707453;-10;6.7663;535.38;0.012465;535.95;;;300.1
0;0;0.202510248;400140;117.1525;0.8253;0.65183;0.9985;4.0528;0.046877;0.197938;-10;7.6512;550.67;0.012852;665.43;;;400.14
0;0;0.253115036;500130;106.0043;0.84376;0.69905;0.99873;4.3967;0.053016;0.2187546;-10;8.4221;564.07;0.013398;789.12;;;500.13
0;0;0.303755251;600190;98.4512;0.86092;0.74772;0.99891;4.7016;0.05909;0.2355372;-10;9.1302;576.02;0.013965;911.3;;;600.19
0;0;0.354299307;700060;92.8708;0.87411;0.7851;0.99906;4.9798;0.065016;0.2496902;-10;9.7873;585.96;0.014507;1032.08;;;700.06
0;0;0.404904094;800050;88.5984;0.88611;0.81521;0.9992;5.242;0.070883;0.2617309;-10;10.416;594.78;0.015024;1154.15;;;800.05
0;0;0.455493699;900010;85.2413;0.89769;0.83908;0.99931;5.4847;0.076718;0.2720387;-10;11.009;602.6;0.015542;1275.59;;;900.01
0;0;0.506098487;1000000;82.5135;0.90904;0.86182;0.99942;5.7206;0.082514;0.2810321;-10;11.59;609.91;0.016027;1399.65;;;1000
0;0;0.556708335;1100000;80.3266;0.92085;0.8824;0.99951;5.9448;0.08836;0.2886832;-10;12.152;616.76;0.016515;1525.35;;;1100
