Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.06;100040;261.28;0.72;0.38;1;2.39;0.03;0.09;0;4.32;487.7;0.01;243.48;;;100.04
0;0;0.11;200060;172.1;0.79;0.5;1;3.05;0.03;0.13;0;5.67;529.78;0.01;393.1;;;200.06
0;0;0.17;300100;137.32;0.82;0.59;1;3.54;0.04;0.17;0;6.7;552.7;0.01;527.84;;;300.1
0;0;0.22;400140;118.36;0.84;0.66;1;3.95;0.05;0.2;0;7.58;568.33;0.01;655.65;;;400.14
0;0;0.28;500130;107.06;0.86;0.71;1;4.29;0.05;0.22;0;8.34;582.1;0.01;778.18;;;500.13
0;0;0.34;600190;99.43;0.87;0.76;1;4.59;0.06;0.23;0;9.04;594.4;0.01;899;;;600.19
0;0;0.39;700150;93.77;0.89;0.79;1;4.86;0.07;0.25;0;9.69;604.62;0.02;1017.74;;;700.15
0;0;0.45;800280;89.43;0.9;0.83;1;5.11;0.07;0.26;0;10.32;613.73;0.02;1138.19;;;800.28
0;0;0.5;900190;86.04;0.91;0.85;1;5.35;0.08;0.27;0;10.9;621.74;0.02;1257.6;;;900.19
0;0;0.56;1000300;83.26;0.92;0.87;1;5.58;0.08;0.28;0;11.47;629.18;0.02;1379.58;;;1000.3
0;0;0.61;1100400;81.03;0.93;0.89;1;5.8;0.09;0.29;0;12.03;636.25;0.02;1503.28;;;1100.4
0;0;0.67;1200400;79.18;0.95;0.91;1;6.01;0.1;0.29;0;12.57;642.75;0.02;1629.88;;;1200.4
0;0;0.73;1300300;77.61;0.96;0.93;1;6.22;0.1;0.3;0;13.12;648.66;0.02;1760.57;;;1300.3
0;0;0.78;1400600;76.26;0.97;0.94;1;6.44;0.11;0.3;0;13.66;654.26;0.02;1895.24;;;1400.6
0;0;0.84;1500400;75.27;0.98;0.96;1;6.64;0.11;0.31;0;14.19;660.23;0.02;2033.46;;;1500.4
0;0;0.89;1600500;74.45;0.98;0.97;1;6.83;0.12;0.31;0;14.72;666.18;0.02;2174.53;;;1600.5
0;0;0.95;1700400;73.84;0.99;0.99;1;7.02;0.13;0.31;0;15.24;672.42;0.02;2317.42;;;1700.4
0;0;1;1790700;73.45239565;0.999976522;1;1;7.182252174;0.131522174;0.315701013;0;15.70073913;678.1904348;0.020346217;2462.92;;;1799300
0;0.1;0.06;100040;260.23;0.72;0.38;1;2.39;0.03;0.09;0;4.32;487.78;0.01;162.38;;;100.04
0;0.1;0.11;200060;171.67;0.79;0.5;1;3.05;0.03;0.14;0;5.67;529.98;0.01;289.92;;;200.06
0;0.1;0.17;300040;137.04;0.82;0.59;1;3.54;0.04;0.17;0;6.7;552.94;0.01;407.48;;;300.04
0;0.1;0.22;400060;118.17;0.84;0.66;1;3.95;0.05;0.2;0;7.58;568.6;0.01;521.89;;;400.06
0;0.1;0.28;500020;106.84;0.86;0.71;1;4.29;0.05;0.22;0;8.35;582.28;0.01;632.48;;;500.02
0;0.1;0.33;600010;99.24;0.87;0.75;1;4.59;0.06;0.23;0;9.05;594.55;0.01;743.2;;;600.01
0;0.1;0.39;700010;93.64;0.89;0.79;1;4.86;0.07;0.25;0;9.7;604.86;0.01;853.4;;;700.01
0;0.1;0.44;800010;89.3;0.9;0.82;1;5.12;0.07;0.26;0;10.32;613.94;0.02;964.53;;;800.01
0;0.1;0.5;900010;85.93;0.91;0.85;1;5.35;0.08;0.27;0;10.91;622.01;0.02;1076.72;;;900.01
0;0.1;0.56;1000000;83.17;0.92;0.87;1;5.58;0.08;0.28;0;11.48;629.44;0.02;1191.1;;;1000
0;0.1;0.61;1100000;80.93;0.93;0.89;1;5.8;0.09;0.29;0;12.03;636.45;0.02;1306.51;;;1100
0;0.1;0.67;1200000;79.09;0.95;0.91;1;6.01;0.09;0.29;0;12.58;643.01;0.02;1425.79;;;1200
0;0.1;0.72;1300000;77.54;0.96;0.93;1;6.23;0.1;0.3;0;13.13;648.99;0.02;1550.24;;;1300
0;0.1;0.78;1400000;76.19;0.97;0.94;1;6.44;0.11;0.3;0;13.66;654.52;0.02;1676.63;;;1400
0;0.1;0.83;1500000;75.2;0.98;0.96;1;6.64;0.11;0.31;0;14.21;660.46;0.02;1809.51;;;1500
0;0.1;0.89;1600000;74.39;0.98;0.97;1;6.84;0.12;0.31;0;14.73;666.42;0.02;1943.99;;;1600
0;0.1;0.94;1700000;73.73;0.99;0.99;1;7.03;0.13;0.31;0;15.25;672.45;0.02;2079.81;;;1700
0;0.1;1;1800000;73.26;1;1;1;7.21;0.13;0.32;0;15.75;678.77;0.02;2219.3;;;1800
0;0.2;0.05;100040;257.02;0.71;0.38;1;2.41;0.03;0.09;0;4.33;488.03;0.01;80.83;;;100.04
0;0.2;0.11;200020;170.03;0.79;0.49;1;3.06;0.03;0.14;0;5.68;530.31;0.01;185.88;;;200.02
0;0.2;0.16;300020;136.13;0.82;0.58;1;3.55;0.04;0.17;0;6.71;553.66;0.01;287.11;;;300.02
0;0.2;0.22;400010;117.32;0.84;0.65;1;3.97;0.05;0.2;0;7.59;569.12;0.01;387.11;;;400.01
0;0.2;0.27;500000;106.11;0.85;0.7;1;4.31;0.05;0.22;0;8.36;582.79;0.01;486.75;;;500
0;0.2;0.33;600000;98.61;0.87;0.74;1;4.61;0.06;0.24;0;9.06;595.01;0.01;587.4;;;600
0;0.2;0.38;700000;93.06;0.89;0.78;1;4.87;0.07;0.25;0;9.71;605.37;0.01;687.89;;;700
0;0.2;0.44;800000;88.8;0.9;0.82;1;5.13;0.07;0.26;0;10.33;614.55;0.02;791.04;;;800
0;0.2;0.49;900000;85.44;0.91;0.84;1;5.37;0.08;0.27;0;10.92;622.58;0.02;894.56;;;900
0;0.2;0.55;1000000;82.72;0.92;0.87;1;5.6;0.08;0.28;0;11.49;630.04;0.02;1001.07;;;1000
0;0.2;0.6;1100000;80.53;0.93;0.89;1;5.81;0.09;0.29;0;12.05;637.06;0.02;1110.11;;;1100
0;0.2;0.66;1200000;78.72;0.94;0.91;1;6.03;0.09;0.29;0;12.59;643.67;0.02;1222.08;;;1200
0;0.2;0.71;1300000;77.19;0.95;0.92;1;6.24;0.1;0.3;0;13.13;649.75;0.02;1338.23;;;1300
0;0.2;0.77;1400000;75.88;0.96;0.94;1;6.45;0.11;0.31;0;13.68;655.4;0.02;1458.56;;;1400
0;0.2;0.82;1500000;74.81;0.97;0.95;1;6.66;0.11;0.31;0;14.22;660.92;0.02;1584.17;;;1500
0;0.2;0.88;1600000;74.02;0.98;0.97;1;6.86;0.12;0.31;0;14.75;666.88;0.02;1711.86;;;1600
0;0.2;0.93;1700000;73.33;0.99;0.98;1;7.05;0.12;0.32;0;15.27;672.62;0.02;1843.43;;;1700
0;0.2;0.99;1800000;72.88;1;1;1;7.23;0.13;0.32;0;15.78;678.86;0.02;1977.24;;;1800
0;0.2;1.04;1900000;72.52;1.01;1.01;1;7.41;0.14;0.32;0;16.29;685.04;0.02;2115.53;;;1900
0;0.3;0.11;200020;167.31;0.78;0.49;1;3.09;0.03;0.14;0;5.7;530.91;0.01;80.94;;;200.02
0;0.3;0.16;300020;134.53;0.82;0.57;1;3.57;0.04;0.17;0;6.72;554.78;0.01;165.91;;;300.02
0;0.3;0.21;400010;116.05;0.83;0.64;1;3.98;0.05;0.2;0;7.6;570.28;0.01;251.91;;;400.01
0;0.3;0.27;500000;104.87;0.85;0.69;1;4.33;0.05;0.22;0;8.38;583.59;0.01;340.05;;;500
0;0.3;0.32;600000;97.54;0.87;0.73;1;4.63;0.06;0.24;0;9.08;595.74;0.01;430.77;;;600
0;0.3;0.37;700000;92.13;0.88;0.77;1;4.9;0.06;0.25;0;9.73;606.25;0.01;522.24;;;700
0;0.3;0.43;800000;87.95;0.9;0.81;1;5.15;0.07;0.26;0;10.35;615.53;0.02;616.77;;;800
0;0.3;0.48;900000;84.67;0.91;0.83;1;5.39;0.08;0.27;0;10.94;623.6;0.02;712.5;;;900
0;0.3;0.54;1000000;82.01;0.92;0.86;1;5.62;0.08;0.28;0;11.51;631.13;0.02;811.29;;;1000
0;0.3;0.59;1100000;79.85;0.93;0.88;1;5.84;0.09;0.29;0;12.07;638.04;0.02;913.38;;;1100
0;0.3;0.64;1200000;78.09;0.94;0.9;1;6.05;0.09;0.3;0;12.61;644.71;0.02;1017.99;;;1200
0;0.3;0.7;1300000;76.62;0.95;0.91;1;6.26;0.1;0.3;0;13.16;651.02;0.02;1126.83;;;1300
0;0.3;0.75;1400000;75.36;0.96;0.93;1;6.47;0.11;0.31;0;13.7;656.8;0.02;1240.11;;;1400
0;0.3;0.8;1500000;74.31;0.97;0.94;1;6.68;0.11;0.31;0;14.24;662.26;0.02;1358.56;;;1500
0;0.3;0.86;1600000;73.44;0.98;0.96;1;6.89;0.12;0.32;0;14.78;667.7;0.02;1480.69;;;1600
0;0.3;0.91;1700000;72.79;0.99;0.97;1;7.08;0.12;0.32;0;15.3;673.49;0.02;1605.85;;;1700
0;0.3;0.96;1800000;72.23;1;0.99;1;7.27;0.13;0.32;0;15.83;679.07;0.02;1734.9;;;1800
0;0.3;1.02;1900000;71.91;1;1;1;7.45;0.14;0.32;0;16.34;685.21;0.02;1867.58;;;1900
0;0.4;0.16;300020;132.15;0.81;0.55;1;3.6;0.04;0.18;0;6.75;556.19;0.01;43.05;;;300.02
0;0.4;0.21;400010;114.28;0.83;0.62;1;4.01;0.05;0.2;0;7.62;571.96;0.01;115.38;;;400.01
0;0.4;0.26;500000;103.26;0.85;0.67;1;4.36;0.05;0.22;0;8.4;584.95;0.01;191.64;;;500
0;0.4;0.31;600000;96.01;0.86;0.71;1;4.66;0.06;0.24;0;9.11;596.79;0.01;272.19;;;600
0;0.4;0.36;700000;90.78;0.88;0.75;1;4.93;0.06;0.26;0;9.76;607.31;0.01;354.83;;;700
0;0.4;0.42;800000;86.76;0.89;0.79;1;5.18;0.07;0.27;0;10.38;616.84;0.01;440.84;;;800
0;0.4;0.47;900000;83.57;0.9;0.82;1;5.42;0.08;0.28;0;10.97;625.01;0.02;528.79;;;900
0;0.4;0.52;1000000;80.99;0.92;0.84;1;5.65;0.08;0.29;0;11.54;632.56;0.02;620.14;;;1000
0;0.4;0.57;1100000;78.92;0.93;0.86;1;5.87;0.09;0.29;0;12.1;639.56;0.02;714.58;;;1100
0;0.4;0.62;1200000;77.19;0.94;0.88;1;6.08;0.09;0.3;0;12.65;646.1;0.02;812.75;;;1200
0;0.4;0.67;1300000;75.77;0.95;0.9;1;6.29;0.1;0.31;0;13.19;652.47;0.02;914.27;;;1300
0;0.4;0.73;1400000;74.59;0.96;0.92;1;6.5;0.1;0.31;0;13.73;658.57;0.02;1020.47;;;1400
0;0.4;0.78;1500000;73.6;0.97;0.93;1;6.71;0.11;0.32;0;14.27;664.23;0.02;1131.96;;;1500
0;0.4;0.83;1600000;72.74;0.98;0.95;1;6.92;0.12;0.32;0;14.81;669.51;0.02;1247.43;;;1600
0;0.4;0.88;1700000;72;0.99;0.96;1;7.12;0.12;0.32;0;15.35;674.65;0.02;1366.67;;;1700
0;0.4;0.93;1800000;71.49;0.99;0.97;1;7.32;0.13;0.32;0;15.87;680.29;0.02;1489.6;;;1800
0;0.4;0.99;1900000;71.08;1;0.99;1;7.51;0.14;0.33;0;16.4;685.75;0.02;1617.5;;;1900
0;0.4;1.04;2000000;70.81;1.01;1;1;7.69;0.14;0.33;0;16.92;691.5;0.02;1749.5;;;2000
0;0.5;0.25;500000;101.18;0.84;0.65;1;4.39;0.05;0.23;0;8.43;586.76;0.01;40.98;;;500
0;0.5;0.3;600000;93.98;0.86;0.7;1;4.7;0.06;0.25;0;9.15;598.21;0.01;110.78;;;600
0;0.5;0.35;700000;89;0.87;0.73;1;4.97;0.06;0.26;0;9.79;608.6;0.01;184.68;;;700
0;0.5;0.4;800000;85.16;0.89;0.76;1;5.23;0.07;0.27;0;10.42;618.21;0.01;262.31;;;800
0;0.5;0.45;900000;82.14;0.9;0.8;1;5.46;0.07;0.28;0;11.01;626.71;0.02;342.33;;;900
0;0.5;0.5;1000000;79.68;0.91;0.82;1;5.69;0.08;0.29;0;11.58;634.38;0.02;426.28;;;1000
0;0.5;0.55;1100000;77.68;0.92;0.84;1;5.91;0.09;0.3;0;12.14;641.41;0.02;513.71;;;1100
0;0.5;0.6;1200000;76.03;0.93;0.86;1;6.13;0.09;0.3;0;12.69;648;0.02;604.48;;;1200
0;0.5;0.65;1300000;74.65;0.94;0.88;1;6.34;0.1;0.31;0;13.23;654.25;0.02;699.27;;;1300
0;0.5;0.7;1400000;73.54;0.95;0.9;1;6.54;0.1;0.32;0;13.77;660.41;0.02;798.71;;;1400
0;0.5;0.75;1500000;72.63;0.96;0.92;1;6.75;0.11;0.32;0;14.31;666.37;0.02;903.4;;;1500
0;0.5;0.8;1600000;71.84;0.97;0.93;1;6.96;0.11;0.32;0;14.85;671.99;0.02;1012.03;;;1600
0;0.5;0.85;1700000;71.15;0.98;0.95;1;7.16;0.12;0.33;0;15.39;677.16;0.02;1124.71;;;1700
0;0.5;0.9;1800000;70.55;0.99;0.96;1;7.37;0.13;0.33;0;15.93;682.1;0.02;1241.55;;;1800
0;0.5;0.95;1900000;70.13;1;0.97;1;7.57;0.13;0.33;0;16.46;687.29;0.02;1363.47;;;1900
0;0.5;1;2000000;69.84;1;0.99;1;7.76;0.14;0.33;0;16.99;692.68;0.02;1489.97;;;2000
0;0.6;0.34;700000;86.78;0.87;0.71;1;5.03;0.06;0.27;0;9.84;610.35;0.01;10.43;;;700
0;0.6;0.39;800000;83.17;0.88;0.73;1;5.28;0.07;0.28;0;10.47;619.78;0.01;79.79;;;800
0;0.6;0.43;900000;80.34;0.89;0.77;1;5.52;0.07;0.29;0;11.06;628.43;0.01;152.84;;;900
0;0.6;0.48;1000000;78.02;0.91;0.8;1;5.75;0.08;0.3;0;11.63;636.38;0.02;228.72;;;1000
0;0.6;0.53;1100000;76.14;0.92;0.82;1;5.97;0.08;0.3;0;12.19;643.58;0.02;308.96;;;1100
0;0.6;0.58;1200000;74.59;0.93;0.84;1;6.18;0.09;0.31;0;12.74;650.25;0.02;392.93;;;1200
0;0.6;0.63;1300000;73.28;0.94;0.86;1;6.39;0.1;0.32;0;13.29;656.57;0.02;480.66;;;1300
0;0.6;0.68;1400000;72.22;0.95;0.88;1;6.6;0.1;0.32;0;13.83;662.66;0.02;573.19;;;1400
0;0.6;0.72;1500000;71.37;0.95;0.9;1;6.81;0.11;0.32;0;14.37;668.59;0.02;671.89;;;1500
0;0.6;0.77;1600000;70.65;0.96;0.91;1;7.01;0.11;0.33;0;14.91;674.34;0.02;773.33;;;1600
0;0.6;0.82;1700000;70.06;0.97;0.93;1;7.21;0.12;0.33;0;15.44;679.89;0.02;879.53;;;1700
0;0.6;0.87;1800000;69.52;0.98;0.95;1;7.42;0.13;0.33;0;15.98;685.16;0.02;989.61;;;1800
0;0.6;0.92;1900000;69.09;0.99;0.96;1;7.62;0.13;0.34;0;16.52;690.07;0.02;1105.27;;;1900
0;0.6;0.96;2000000;68.74;1;0.97;1;7.83;0.14;0.34;0;17.07;694.82;0.02;1226.13;;;2000
0;0.6;1.01;2100000;68.5;1.01;0.98;1;8.03;0.14;0.34;0;17.6;699.78;0.02;1350.43;;;2100
304.8;0;0.06;100040;256.45;0.72;0.39;1;2.34;0.03;0.09;0;4.22;486.93;0.01;241.07;;;100.04
304.8;0;0.11;200020;168.97;0.79;0.51;1;2.98;0.03;0.14;0;5.55;528.66;0.01;389.64;;;200.02
304.8;0;0.17;300020;134.83;0.82;0.59;1;3.48;0.04;0.17;0;6.57;551.19;0.01;524.38;;;300.02
304.8;0;0.23;400010;116.47;0.84;0.67;1;3.88;0.05;0.2;0;7.43;567.02;0.01;651.5;;;400.01
304.8;0;0.28;500000;105.53;0.86;0.71;1;4.21;0.05;0.22;0;8.18;580.92;0.01;773.39;;;500
304.8;0;0.34;600000;98.09;0.87;0.76;1;4.5;0.06;0.24;0;8.87;593.18;0.01;893.89;;;600
304.8;0;0.4;700000;92.57;0.89;0.8;1;4.77;0.06;0.25;0;9.52;603.41;0.02;1013.53;;;700
304.8;0;0.45;800000;88.36;0.9;0.83;1;5.02;0.07;0.26;0;10.13;612.44;0.02;1133.85;;;800
304.8;0;0.51;900000;85.05;0.91;0.86;1;5.25;0.08;0.27;0;10.71;620.51;0.02;1254.43;;;900
304.8;0;0.57;1000000;82.37;0.92;0.88;1;5.48;0.08;0.28;0;11.28;628.07;0.02;1377.59;;;1000
304.8;0;0.63;1100000;80.24;0.94;0.9;1;5.7;0.09;0.29;0;11.83;635.11;0.02;1502.42;;;1100
304.8;0;0.68;1200000;78.43;0.95;0.92;1;5.91;0.09;0.3;0;12.38;641.52;0.02;1631.05;;;1200
304.8;0;0.74;1300000;76.9;0.96;0.93;1;6.13;0.1;0.3;0;12.92;647.44;0.02;1763.73;;;1300
304.8;0;0.8;1400000;75.68;0.97;0.95;1;6.34;0.11;0.31;0;13.47;653.3;0.02;1901.32;;;1400
304.8;0;0.85;1500000;74.76;0.98;0.96;1;6.53;0.11;0.31;0;14;659.57;0.02;2041.16;;;1500
