Alt;mn;Throttle;Power;SFC;SFC (gr/MJ);Fuel flow (kg/s);TET (K);COT (K);Eta;P3 (bar);T3 (K);PCN HP;PCN LP;PCN PT;Residual Thrust (N)
0;0;0.052669264;100040;198.3243;0;0;0;0;0;0;0;0;0;0;1
0;0;0.105333263;200070;134.9315;0;0;0;0;0;0;0;0;0;0;1
0;0;0.158013057;300130;111.2506;0;0;0;0;0;0;0;0;0;0;1
0;0;0.210640202;400090;98.3724;0;0;0;0;0;0;0;0;0;0;1
0;0;0.263325261;500160;90.3997;0;0;0;0;0;0;0;0;0;0;1
0;0;0.315999789;600210;84.7697;0;0;0;0;0;0;0;0;0;0;1
0;0;0.368705907;700320;80.5735;0;0;0;0;0;0;0;0;0;0;1
0;0;0.421285669;800190;77.3523;0;0;0;0;0;0;0;0;0;0;1
0;0;0.474033905;900380;74.8614;0;0;0;0;0;0;0;0;0;0;1
0;0;0.526639992;1000300;72.8639;0;0;0;0;0;0;0;0;0;0;1
0;0;0.579235548;1100200;71.1691;0;0;0;0;0;0;0;0;0;0;1
0;0;0.631989049;1200400;69.7252;0;0;0;0;0;0;0;0;0;0;1
0;0;0.68474255;1300600;68.5075;0;0;0;0;0;0;0;0;0;0;1
0;0;0.737390755;1400600;67.5051;0;0;0;0;0;0;0;0;0;0;1
0;0;0.789986311;1500500;66.6423;0;0;0;0;0;0;0;0;0;0;1
0;0;0.842581868;1600400;65.9182;0;0;0;0;0;0;0;0;0;0;1
0;0;0.895440665;1700800;65.278;0;0;0;0;0;0;0;0;0;0;1
0;0;0.948036222;1800700;64.7218;0;0;0;0;0;0;0;0;0;0;1
0;0;1;1899400;64.2613;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.052652632;100040;197.2297;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.1053;200070;134.4227;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.157921053;300050;110.8297;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.210547368;400040;98.0591;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.263173684;500030;90.1115;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.315810526;600040;84.5551;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.368431579;700020;80.3507;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.421057895;800010;77.1391;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.473689474;900010;74.6944;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.526315789;1000000;72.6682;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.578947368;1100000;70.9808;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.631578947;1200000;69.5905;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.684210526;1300000;68.3574;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.736842105;1400000;67.3504;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.789473684;1500000;66.5171;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.842105263;1600000;65.7895;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.894736842;1700000;65.1372;0;0;0;0;0;0;0;0;0;0;1
0;0.1;0.947368421;1800000;64.5803;0;0;0;0;0;0;0;0;0;0;1
0;0.1;1;1900000;64.0816;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.05002;100040;193.9071;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.100015;200030;132.5144;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.15001;300020;109.4791;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.200005;400010;96.9276;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.25;500000;89.1786;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.3;600000;83.6852;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.35;700000;79.5794;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.4;800000;76.4399;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.45;900000;73.9558;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.5;1000000;72.0125;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.55;1100000;70.3669;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.6;1200000;68.9787;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.65;1300000;67.7998;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.7;1400000;66.7919;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.75;1500000;65.954;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.8;1600000;65.2446;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.85;1700000;64.6258;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.9;1800000;64.0842;0;0;0;0;0;0;0;0;0;0;1
0;0.2;0.95;1900000;63.6008;0;0;0;0;0;0;0;0;0;0;1
0;0.2;1;2000000;63.1977;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.05002;100040;188.4495;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.100015;200030;129.678;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.15001;300020;107.3074;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.200005;400010;95.159;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.25;500000;87.5802;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.3;600000;82.3003;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.35;700000;78.2917;0;0;0;0;0;0;0;0;0;0;1
0;0.3;0.4;800000;75.2696;0;0;0;0;0;0;0;0;0;0;1
