Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0;0.04535643;100020;270.3762;0.69879;0.36532;0.99701;2.6339;0.027043;0.0857654;-10;4.2538;468.81;0.011408;254.47;;;100.02
0;0;0.136082895;300090;142.0803;0.80175;0.55698;0.99811;3.8796;0.042636;0.16321;-10;6.5734;532.69;0.012211;547.4;;;300.09
0;0;0.226813894;500170;109.7935;0.83524;0.67734;0.99862;4.7083;0.054915;0.211205;-10;8.1822;560.51;0.012959;805.1;;;500.17
0;0;0.317581172;700330;95.7138;0.86536;0.75827;0.99895;5.3207;0.067032;0.2422736;-10;9.481;582.03;0.013998;1047.25;;;700.33
0;0;0.408148921;900050;87.5059;0.8873;0.81649;0.9992;5.8544;0.078759;0.2649985;-10;10.646;598.56;0.014948;1289.43;;;900.05
0;0;0.498820969;1100000;82.1335;0.90776;0.85852;0.9994;6.333;0.090348;0.2823321;-10;11.721;612.23;0.015851;1533.96;;;1100
0;0;0.58951569;1300000;78.4527;0.92858;0.89493;0.99957;6.7792;0.10199;0.2955786;-10;12.746;624.38;0.016716;1786.18;;;1300
0;0;0.680210412;1500000;75.6867;0.94719;0.92053;0.99971;7.2182;0.11353;0.3063807;-10;13.752;634.67;0.017476;2050.41;;;1500
0;0;0.770905133;1700000;73.8833;0.96325;0.94962;0.99984;7.6357;0.1256;0.3138589;-10;14.744;645.19;0.018277;2329.39;;;1700
0;0;0.861599855;1900000;72.7277;0.97777;0.97517;0.99995;8.0222;0.13818;0.3188458;-10;15.706;656.16;0.019139;2617.43;;;1900
0;0;0.952294576;2100000;71.9968;0.99237;0.99771;1;8.39;0.15119;0.3220829;-10;16.651;667.19;0.020023;2916.81;;;2100
0;0;1.042989298;2300000;71.5588;1.0066;1.0215;1.0001;8.7533;0.16459;0.3240541;-10;17.598;677.92;0.020892;3231.8;;;2300
0;0.2;0.044550354;100020;265.8595;0.69509;0.36128;0.99701;2.6569;0.026592;0.0872225;-10;4.27;469.13;0.011121;78.08;;;100.02
0;0.2;0.133633246;300020;140.7413;0.79966;0.54829;0.99811;3.8948;0.042224;0.1647629;-10;6.585;533.53;0.012046;288.15;;;300.02
0;0.2;0.222711683;500010;108.8063;0.83269;0.6698;0.99862;4.7276;0.054404;0.2131211;-10;8.198;561.17;0.012786;490.88;;;500.01
0;0.2;0.311790121;700000;94.9795;0.86347;0.74776;0.99895;5.3396;0.066486;0.2441467;-10;9.4961;582.7;0.013835;692.18;;;700
0;0.2;0.400873012;900000;86.8717;0.88567;0.8076;0.9992;5.873;0.078185;0.266933;-10;10.662;599.38;0.014792;898.87;;;900
0;0.2;0.489955904;1100000;81.5794;0.90556;0.85061;0.9994;6.3525;0.089737;0.2842499;-10;11.738;613.05;0.015696;1111.75;;;1100
0;0.2;0.579038796;1300000;77.9656;0.926;0.88711;0.99957;6.7986;0.10136;0.297425;-10;12.763;625.24;0.016565;1334.36;;;1300
0;0.2;0.668121687;1500000;75.2791;0.94475;0.9151;0.99971;7.2346;0.11292;0.3080392;-10;13.768;635.8;0.017342;1569.24;;;1500
0;0.2;0.757204579;1700000;73.4238;0.96179;0.9422;0.99984;7.6617;0.12482;0.3158232;-10;14.768;645.85;0.018102;1821.38;;;1700
0;0.2;0.84628747;1900000;72.2137;0.97557;0.96965;0.99995;8.06;0.13721;0.3211154;-10;15.741;656.29;0.018915;2085.33;;;1900
0;0.2;0.935370362;2100000;71.5193;0.99013;0.99176;1;8.4285;0.15019;0.3242332;-10;16.689;667.32;0.019799;2360.83;;;2100
0;0.2;1.024453254;2300000;71.0983;1.0042;1.0144;1.0001;8.794;0.16353;0.3261532;-10;17.639;677.97;0.020661;2652.33;;;2300
0;0.4;0.126933491;300020;136.3533;0.79269;0.52428;0.99811;3.9469;0.040908;0.170065;-10;6.6245;535.71;0.011516;24.91;;;300.02
0;0.4;0.211545947;500010;105.9568;0.82663;0.63921;0.99862;4.7772;0.052979;0.2188526;-10;8.2354;563.49;0.012323;172.65;;;500.01
0;0.4;0.296158402;700000;92.5484;0.85567;0.71364;0.99895;5.4001;0.064784;0.2505601;-10;9.5434;584.42;0.01333;333.31;;;700
0;0.4;0.380775089;900000;84.9119;0.88105;0.78072;0.9992;5.932;0.076421;0.2730941;-10;10.711;601.68;0.014315;505.21;;;900
0;0.4;0.465391775;1100000;79.8944;0.90023;0.82761;0.9994;6.4123;0.087884;0.2902447;-10;11.791;615.55;0.015228;686.98;;;1100
0;0.4;0.550008462;1300000;76.4383;0.91836;0.86408;0.99957;6.862;0.09937;0.3033682;-10;12.82;627.58;0.016091;880.26;;;1300
0;0.4;0.634625148;1500000;73.9879;0.93738;0.89694;0.99971;7.2905;0.11098;0.3134152;-10;13.821;638.78;0.016915;1086.73;;;1500
0;0.4;0.719241834;1700000;72.1983;0.95494;0.92347;0.99984;7.7214;0.12274;0.3211838;-10;14.825;648.8;0.017662;1310.84;;;1700
0;0.4;0.803858521;1900000;70.8917;0.97101;0.94801;0.99995;8.1444;0.13469;0.3271036;-10;15.822;658.14;0.018376;1550.21;;;1900
0;0.4;0.888475207;2100000;70.0901;0.98381;0.97441;1;8.5429;0.14719;0.3308446;-10;16.8;667.93;0.019144;1804.44;;;2100
0;0.4;0.973091894;2300000;69.719;0.99744;0.99601;1.0001;8.9154;0.16035;0.3326058;-10;17.759;678.33;0.019985;2073.51;;;2300
0;0.4;1.05770858;2500000;69.5339;1.0107;1.0166;1.0002;9.281;0.17383;0.3334912;-10;18.714;688.5;0.020812;2356.42;;;2500
0;0.6;0.351246927;900000;81.4751;0.86956;0.72617;0.9992;6.0391;0.073328;0.2846138;-10;10.797;604.65;0.013493;99.51;;;900
0;0.6;0.429301799;1100000;76.9882;0.89249;0.78172;0.9994;6.518;0.084687;0.301201;-10;11.881;619.33;0.014438;250.52;;;1100
0;0.6;0.507356672;1300000;73.8909;0.90994;0.82422;0.99957;6.9683;0.096058;0.3138266;-10;12.915;631.7;0.015319;415.48;;;1300
0;0.6;0.585411544;1500000;71.6444;0.92604;0.85891;0.99971;7.4024;0.10747;0.323667;-10;13.923;642.83;0.016135;594.08;;;1500
0;0.6;0.663466417;1700000;70.0962;0.94254;0.88997;0.99984;7.8282;0.11916;0.3308156;-10;14.925;653.3;0.016916;790.78;;;1700
0;0.6;0.741521289;1900000;68.9835;0.95922;0.91893;0.99995;8.2455;0.13107;0.3361521;-10;15.922;663.21;0.017662;1003.38;;;1900
0;0.6;0.819576162;2100000;68.1456;0.97471;0.94155;1;8.6683;0.14311;0.3402849;-10;16.923;672.12;0.018346;1231.82;;;2100
0;0.6;0.897631035;2300000;67.6094;0.98895;0.96335;1.0001;9.0872;0.1555;0.3429838;-10;17.929;680.7;0.019016;1478.5;;;2300
0;0.6;0.975685907;2500000;67.3774;1.0006;0.98712;1.0002;9.4819;0.16844;0.344165;-10;18.915;689.72;0.019741;1739.62;;;2500
0;0.6;1.05374078;2700000;67.3649;1.0126;1.008;1.0003;9.8602;0.18189;0.3442289;-10;19.89;699.01;0.020498;2015.23;;;2700
1000;0;0.04820938;100020;254.055;0.70101;0.37754;0.99701;2.4509;0.025411;0.0912752;-10;3.9597;465.97;0.01152;246.04;;;100.02
1000;0;0.144608859;300020;133.599;0.79676;0.57903;0.99811;3.6463;0.040082;0.1735712;-10;6.162;527.56;0.012214;534.98;;;300.02
1000;0;0.241003519;500010;104.4942;0.83411;0.69426;0.99862;4.4121;0.052248;0.221916;-10;7.673;556.08;0.013158;788.14;;;500.01
1000;0;0.337398178;700000;91.559;0.86454;0.77902;0.99895;5.0022;0.064091;0.2532677;-10;8.9249;577.67;0.014236;1032.07;;;700
1000;0;0.433797657;900000;84.083;0.88814;0.83253;0.9992;5.5136;0.075675;0.2757862;-10;10.046;594.12;0.01525;1277.05;;;900
1000;0;0.530197137;1100000;79.2879;0.91131;0.87576;0.9994;5.9808;0.087217;0.2924651;-10;11.098;608.15;0.016203;1529.11;;;1100
