Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.036307882;100050;286.4737;0.66734;0.33341;0.99679;2.9012;0.028661;0.0809461;-10;3.8552;452.39;0.010977;255.11;;;;100.05
0;0;0.108920017;300140;149.3529;0.78602;0.5088;0.99788;4.2581;0.044827;0.1552627;-10;5.9389;516.22;0.011697;545.06;;;;300.14
0;0;0.181532153;500230;114.3777;0.81855;0.62171;0.99839;5.1516;0.057216;0.20274;-10;7.3609;543.08;0.01234;795.11;;;;500.23
0;0;0.254089853;700170;98.6793;0.8446;0.69665;0.99873;5.8327;0.069092;0.2349929;-10;8.5206;562.91;0.013162;1030.51;;;;700.17
0;0;0.326709247;900280;89.7042;0.86729;0.76247;0.99898;6.3993;0.080759;0.2585044;-10;9.537;579.28;0.014022;1260.14;;;;900.28
0;0;0.3992234;1100100;83.7767;0.88488;0.80931;0.99918;6.912;0.092162;0.2767946;-10;10.476;592.55;0.014815;1491.33;;;;1100.1
0;0;0.471766584;1300000;79.583;0.90132;0.84465;0.99935;7.3786;0.10346;0.2913803;-10;11.351;603.78;0.01558;1723.75;;;;1300
0;0;0.544346059;1500000;76.513;0.91815;0.87575;0.99949;7.819;0.11477;0.3030719;-10;12.193;614.04;0.016309;1962.15;;;;1500
0;0;0.616925533;1700000;74.1628;0.93417;0.90184;0.99961;8.244;0.12608;0.3126762;-10;13.012;623.15;0.016992;2208.23;;;;1700
0;0;0.689505008;1900000;72.2814;0.94888;0.92244;0.99973;8.6659;0.13733;0.3208147;-10;13.824;631.23;0.017609;2464.62;;;;1900
0;0;0.762084483;2100000;71.0028;0.96173;0.94614;0.99983;9.0672;0.14911;0.3265919;-10;14.624;639.7;0.018272;2732.45;;;;2100
0;0;0.834663957;2300000;70.0871;0.97311;0.96805;0.99992;9.4476;0.1612;0.330859;-10;15.407;648.27;0.018959;3007.76;;;;2300
0;0;0.907243432;2500000;69.4912;0.98502;0.98625;1;9.8028;0.17373;0.3336958;-10;16.169;657.23;0.019691;3289.25;;;;2500
0;0;0.979822906;2700000;69.0835;0.99655;1.0046;1.0001;10.156;0.18653;0.3356653;-10;16.934;665.89;0.020407;3583.42;;;;2700
0;0;1.052402381;2900000;68.8249;1.0078;1.0239;1.0001;10.504;0.19959;0.3369264;-10;17.696;674.39;0.021113;3888.23;;;;2900
0;0.2;0.035673536;100050;281.6049;0.66192;0.32972;0.99679;2.9258;0.028174;0.0823456;-10;3.8692;452.84;0.010699;60.69;;;;100.05
0;0.2;0.106988519;300060;147.6351;0.78326;0.50155;0.99788;4.2809;0.044299;0.1570692;-10;5.9531;516.82;0.011498;260.47;;;;300.06
0;0.2;0.178285674;500020;113.4734;0.81681;0.61154;0.99839;5.167;0.056739;0.2043557;-10;7.371;544.12;0.012201;450.91;;;;500.02
0;0.2;0.249593525;700010;97.8167;0.84207;0.68886;0.99873;5.8559;0.068472;0.2370652;-10;8.5363;563.62;0.012992;641.23;;;;700.01
0;0.2;0.320901376;900000;89.0164;0.86582;0.75184;0.99898;6.4213;0.080115;0.2605018;-10;9.5519;580.02;0.013863;833.08;;;;900
0;0.2;0.392212793;1100000;83.167;0.88327;0.80042;0.99918;6.9343;0.091484;0.2788239;-10;10.492;593.38;0.014659;1030.22;;;;1100
0;0.2;0.46352421;1300000;79.044;0.89947;0.83672;0.99935;7.401;0.10276;0.2933674;-10;11.368;604.66;0.015427;1231.71;;;;1300
0;0.2;0.534835627;1500000;76.0136;0.91558;0.86802;0.99949;7.843;0.11402;0.305063;-10;12.211;614.85;0.016153;1441.04;;;;1500
0;0.2;0.606147044;1700000;73.746;0.93176;0.89667;0.99961;8.2648;0.12537;0.3144431;-10;13.031;624.22;0.016852;1659.35;;;;1700
0;0.2;0.677458461;1900000;71.8992;0.94645;0.91697;0.99973;8.6854;0.13661;0.3225201;-10;13.84;632.39;0.017476;1886.94;;;;1900
0;0.2;0.748769878;2100000;70.5617;0.96028;0.93879;0.99983;9.0983;0.14818;0.3286334;-10;14.649;640.38;0.018096;2129.23;;;;2100
0;0.2;0.820081295;2300000;69.6279;0.97128;0.9616;0.99992;9.4862;0.16014;0.3330409;-10;15.438;648.68;0.018758;2380.27;;;;2300
0;0.2;0.891392712;2500000;69.0179;0.98281;0.98052;1;9.8485;0.17254;0.3359843;-10;16.206;657.39;0.019467;2639.26;;;;2500
0;0.2;0.962704129;2700000;68.6345;0.99428;0.99834;1.0001;10.203;0.18531;0.337861;-10;16.972;666.05;0.020181;2910.55;;;;2700
0;0.2;1.034015546;2900000;68.3888;1.0055;1.0168;1.0001;10.553;0.19833;0.3390752;-10;17.737;674.48;0.020882;3192.97;;;;2900
0;0.4;0.169532786;500020;110.5397;0.81187;0.58266;0.99839;5.2157;0.055272;0.2097792;-10;7.4026;547.13;0.011775;103.04;;;;500.02
0;0.4;0.237336407;700000;95.2183;0.83538;0.66299;0.99873;5.9233;0.066653;0.2435343;-10;8.5817;565.83;0.012503;247.44;;;;700
0;0.4;0.30514681;900000;86.7624;0.85815;0.71812;0.99898;6.4942;0.078086;0.2672695;-10;9.6004;581.85;0.013361;401.67;;;;900
0;0.4;0.372957212;1100000;81.2832;0.87877;0.77229;0.99918;7.004;0.089412;0.2852855;-10;10.54;595.7;0.014185;565.3;;;;1100
0;0.4;0.440767614;1300000;77.3724;0.89447;0.81234;0.99935;7.4724;0.10058;0.2997054;-10;11.42;607.16;0.014957;736.28;;;;1300
0;0.4;0.508578016;1500000;74.5013;0.90924;0.84472;0.99949;7.9159;0.11175;0.3112553;-10;12.265;617.37;0.015687;916.72;;;;1500
0;0.4;0.576388418;1700000;72.3431;0.92409;0.87316;0.99961;8.3396;0.12298;0.3205412;-10;13.086;626.69;0.016386;1106.97;;;;1700
0;0.4;0.64419882;1900000;70.6929;0.93913;0.89939;0.99973;8.7514;0.13432;0.3280237;-10;13.893;635.5;0.017054;1307.85;;;;1900
0;0.4;0.712009222;2100000;69.4123;0.95318;0.9207;0.99983;9.1661;0.14577;0.3340751;-10;14.704;643.51;0.01767;1522.83;;;;2100
0;0.4;0.779819624;2300000;68.3823;0.96649;0.93961;0.99992;9.5803;0.15728;0.3391074;-10;15.513;650.86;0.018242;1749.79;;;;2300
0;0.4;0.847630026;2500000;67.7087;0.97746;0.96094;1;9.9661;0.16927;0.3424811;-10;16.301;658.72;0.018873;1986.89;;;;2500
0;0.4;0.915440429;2700000;67.2716;0.98773;0.9814;1.0001;10.345;0.18163;0.3447061;-10;17.089;666.56;0.019509;2237.74;;;;2700
0;0.4;0.983250831;2900000;67.081;0.99873;0.99815;1.0001;10.699;0.19454;0.3456854;-10;17.858;674.92;0.020204;2498.58;;;;2900
0;0.4;1.051061233;3100000;66.9779;1.0093;1.0148;1.0002;11.049;0.20763;0.3462176;-10;18.628;683;0.02088;2770.02;;;;3100
0;0.6;0.344438878;1100000;77.9551;0.86686;0.71871;0.99918;7.1325;0.085751;0.2974653;-10;10.628;598.76;0.013358;86.08;;;;1100
0;0.6;0.407064128;1300000;74.4697;0.88564;0.76483;0.99935;7.6;0.096811;0.3113876;-10;11.51;610.8;0.014155;226.97;;;;1300
0;0.6;0.469689379;1500000;71.9082;0.90138;0.80399;0.99949;8.0446;0.10786;0.3224795;-10;12.361;621.42;0.0149;379.35;;;;1500
0;0.6;0.532314629;1700000;69.9768;0.91482;0.83432;0.99961;8.4701;0.11896;0.3313802;-10;13.185;630.88;0.015608;542.5;;;;1700
0;0.6;0.59493988;1900000;68.4882;0.92765;0.86131;0.99973;8.8858;0.13013;0.3385826;-10;13.997;639.65;0.016275;716.97;;;;1900
0;0.6;0.65756513;2100000;67.3754;0.9408;0.88654;0.99983;9.2957;0.14149;0.3441749;-10;14.805;648.02;0.016915;905.09;;;;2100
0;0.6;0.720190381;2300000;66.5426;0.95432;0.90983;0.99992;9.6983;0.15305;0.3484823;-10;15.609;656.05;0.017537;1105.64;;;;2300
0;0.6;0.782815631;2500000;65.8722;0.96704;0.93101;1;10.101;0.16468;0.3520291;-10;16.412;663.52;0.018117;1317.88;;;;2500
0;0.6;0.845440882;2700000;65.3779;0.9792;0.94778;1.0001;10.51;0.17652;0.3546905;-10;17.226;670.38;0.018664;1545.17;;;;2700
0;0.6;0.908066132;2900000;65.0652;0.99016;0.96581;1.0001;10.907;0.18869;0.3563951;-10;18.032;677.31;0.019224;1784.72;;;;2900
0;0.6;0.970691383;3100000;64.9303;0.99946;0.98501;1.0002;11.286;0.20128;0.3571359;-10;18.829;684.51;0.019816;2036.19;;;;3100
0;0.6;1.033316633;3300000;64.903;1.0088;1.0026;1.0003;11.657;0.21418;0.357286;-10;19.617;691.74;0.020418;2297.37;;;;3300
1000;0;0.038589116;100050;267.9729;0.67322;0.34425;0.99679;2.6991;0.02681;0.0865346;-10;3.5835;449.06;0.011037;245.93;;;;100.05
1000;0;0.115732634;300060;140.6679;0.7833;0.52621;0.99788;3.9813;0.042209;0.1648488;-10;5.5471;511.8;0.01178;529.64;;;;300.06
1000;0;0.192856867;500020;108.3283;0.81563;0.64485;0.99839;4.8425;0.054166;0.2140617;-10;6.9123;538.45;0.012428;779.44;;;;500.02
1000;0;0.269992672;700010;94.1739;0.84453;0.72258;0.99873;5.4815;0.065922;0.2462351;-10;8.0158;558.99;0.013363;1013.93;;;;700.01
1000;0;0.347128476;900000;85.9412;0.86692;0.78338;0.99898;6.0254;0.077347;0.2698232;-10;8.9923;575.08;0.014263;1245.21;;;;900
1000;0;0.424268137;1100000;80.5648;0.88585;0.82626;0.99918;6.514;0.088621;0.2878295;-10;9.8927;588.17;0.015116;1478.59;;;;1100
1000;0;0.501407799;1300000;76.8026;0.90438;0.86225;0.99935;6.9711;0.099843;0.3019292;-10;10.751;599.73;0.015914;1718.36;;;;1300
1000;0;0.57854746;1500000;74.0632;0.92253;0.89185;0.99949;7.4062;0.11109;0.3130964;-10;11.58;609.95;0.016667;1966.24;;;;1500
1000;0;0.655687122;1700000;71.9593;0.93913;0.91551;0.99961;7.8371;0.12233;0.3222508;-10;12.401;618.96;0.017343;2226.33;;;;1700
1000;0;0.732826783;1900000;70.5471;0.95317;0.94219;0.99973;8.2431;0.13404;0.3287012;-10;13.205;628.31;0.018068;2497.32;;;;1900
1000;0;0.809966444;2100000;69.6465;0.96637;0.96478;0.99983;8.62;0.14626;0.3329517;-10;13.986;638.15;0.018853;2776.73;;;;2100
1000;0;0.887106106;2300000;69.0524;0.97953;0.98518;0.99992;8.9816;0.15882;0.3358166;-10;14.756;647.95;0.019648;3066.25;;;;2300
1000;0;0.964245767;2500000;68.6921;0.99237;1.0066;1;9.3393;0.17173;0.3375779;-10;15.528;657.52;0.020431;3369.95;;;;2500
1000;0;1.041385428;2700000;68.4775;1.0049;1.0282;1.0001;9.6912;0.18489;0.3386357;-10;16.297;666.8;0.021198;3684.72;;;;2700
1000;0.2;0.037939403;100050;263.6843;0.66795;0.34042;0.99679;2.7218;0.026381;0.087942;-10;3.5968;449.51;0.010769;67.29;;;;100.05
1000;0.2;0.113784081;300060;139.2046;0.78079;0.51833;0.99788;3.9993;0.04177;0.1665817;-10;5.5584;512.52;0.011605;266.71;;;;300.06
1000;0.2;0.189609799;500020;107.3834;0.81355;0.63484;0.99839;4.8599;0.053694;0.2159452;-10;6.9237;539.25;0.012276;459.87;;;;500.02
1000;0.2;0.265446892;700010;93.3838;0.84199;0.7108;0.99873;5.5018;0.065369;0.2483186;-10;8.029;559.58;0.013201;652.4;;;;700.01
1000;0.2;0.341283986;900000;85.2863;0.86536;0.775;0.99898;6.0462;0.076758;0.2718952;-10;9.0069;575.85;0.014106;848;;;;900
1000;0.2;0.417124872;1100000;80.0063;0.88408;0.81862;0.99918;6.5345;0.088007;0.2898389;-10;9.9075;589.01;0.014965;1049.28;;;;1100
1000;0.2;0.492965758;1300000;76.298;0.90188;0.85469;0.99935;6.9928;0.099187;0.3039257;-10;10.767;600.51;0.01576;1259.19;;;;1300
1000;0.2;0.568806644;1500000;73.6386;0.92017;0.88677;0.99949;7.4247;0.11046;0.3149017;-10;11.595;610.98;0.016531;1478.16;;;;1500
1000;0.2;0.644647529;1700000;71.5786;0.93666;0.90959;0.99961;7.8553;0.12168;0.3239646;-10;12.416;620.06;0.017212;1710.13;;;;1700
1000;0.2;0.720488415;1900000;70.1197;0.95176;0.93479;0.99973;8.2708;0.13323;0.330705;-10;13.227;629;0.017898;1955.37;;;;1900
1000;0.2;0.796329301;2100000;69.1631;0.96422;0.95931;0.99983;8.6604;0.14524;0.3352789;-10;14.018;638.31;0.018634;2211.68;;;;2100
1000;0.2;0.872170187;2300000;68.6008;0.97734;0.97933;0.99992;9.0229;0.15778;0.3380271;-10;14.79;648.12;0.01943;2478.04;;;;2300
1000;0.2;0.948011073;2500000;68.2545;0.99004;0.99966;1;9.3828;0.17064;0.3397422;-10;15.564;657.61;0.020207;2758.91;;;;2500
1000;0.2;1.023851959;2700000;68.0544;1.0024;1.0209;1.0001;9.7367;0.18375;0.3407411;-10;16.335;666.83;0.020968;3051.28;;;;2700
1000;0.4;0.180532188;500020;104.6569;0.80837;0.60546;0.99839;4.9077;0.05233;0.221571;-10;6.9551;542;0.011848;136.8;;;;500.02
1000;0.4;0.252738564;700010;90.9428;0.83474;0.6831;0.99873;5.5668;0.06366;0.2549838;-10;8.0721;561.46;0.012706;286.91;;;;700.01
1000;0.4;0.32494494;900000;83.2984;0.85947;0.74469;0.99898;6.1096;0.074969;0.2783839;-10;9.0502;577.92;0.013634;447.23;;;;900
1000;0.4;0.397154927;1100000;78.3025;0.87933;0.79376;0.99918;6.5979;0.086133;0.2961454;-10;9.9533;591.42;0.014505;616.93;;;;1100
1000;0.4;0.469364913;1300000;74.7964;0.89615;0.83155;0.99935;7.0566;0.097235;0.3100272;-10;10.815;603.05;0.015311;797.23;;;;1300
1000;0.4;0.5415749;1500000;72.2664;0.91266;0.86368;0.99949;7.4915;0.1084;0.3208813;-10;11.645;613.43;0.016078;988.64;;;;1500
1000;0.4;0.613784886;1700000;70.4082;0.92955;0.89322;0.99961;7.9128;0.11969;0.32935;-10;12.462;623.21;0.016807;1192.65;;;;1700
1000;0.4;0.685994873;1900000;68.973;0.94508;0.91556;0.99973;8.3366;0.13105;0.3362028;-10;13.28;631.9;0.017466;1411.31;;;;1900
1000;0.4;0.75820486;2100000;67.91;0.95971;0.93816;0.99983;8.7525;0.14261;0.3414656;-10;14.092;640.15;0.018104;1643.7;;;;2100
1000;0.4;0.830414846;2300000;67.2552;0.97126;0.96205;0.99992;9.1441;0.15469;0.3447904;-10;14.888;648.85;0.018797;1889.25;;;;2300
1000;0.4;0.902624833;2500000;66.9448;0.98349;0.98191;1;9.5124;0.16736;0.3463887;-10;15.671;658.09;0.019549;2148.49;;;;2500
1000;0.4;0.97483482;2700000;66.7916;0.99554;1.0007;1.0001;9.8714;0.18034;0.3471833;-10;16.448;667.17;0.020299;2419.47;;;;2700
1000;0.4;1.047044806;2900000;66.7513;1.0073;1.0202;1.0001;10.226;0.19358;0.3473928;-10;17.224;676.02;0.021034;2702.22;;;;2900
1000;0.6;0.300631326;900000;79.8324;0.84789;0.69564;0.99898;6.2259;0.071849;0.2904702;-10;9.1296;581.02;0.012824;33.72;;;;900
1000;0.6;0.367438287;1100000;75.3278;0.8695;0.7445;0.99918;6.7125;0.082861;0.3078405;-10;10.033;594.82;0.013718;172.09;;;;1100
1000;0.6;0.434245248;1300000;72.1936;0.88855;0.79043;0.99935;7.1707;0.093852;0.321205;-10;10.899;607;0.014542;323.82;;;;1300
1000;0.6;0.50105221;1500000;69.9219;0.90375;0.82533;0.99949;7.6075;0.10488;0.3316407;-10;11.733;617.57;0.01532;487.59;;;;1500
1000;0.6;0.567859171;1700000;68.244;0.91816;0.85547;0.99961;8.0329;0.11601;0.3397946;-10;12.555;627.32;0.016049;664.99;;;;1700
1000;0.6;0.634666132;1900000;67.0379;0.93306;0.88325;0.99973;8.45;0.12737;0.3459076;-10;13.371;636.55;0.016749;857.58;;;;1900
1000;0.6;0.701473093;2100000;66.1223;0.94794;0.90937;0.99983;8.8589;0.13886;0.3506974;-10;14.179;645.28;0.017416;1062.9;;;;2100
1000;0.6;0.768280055;2300000;65.439;0.96186;0.92971;0.99992;9.2744;0.15051;0.3543598;-10;14.996;653.21;0.018033;1283.84;;;;2300
1000;0.6;0.835087016;2500000;64.9508;0.97556;0.94937;1;9.6935;0.16238;0.3570229;-10;15.823;660.7;0.01861;1521.9;;;;2500
1000;0.6;0.901893977;2700000;64.7584;0.98599;0.97084;1.0001;10.08;0.17485;0.3580837;-10;16.622;668.75;0.019274;1770.65;;;;2700
1000;0.6;0.968700939;2900000;64.7016;0.99652;0.99093;1.0001;10.459;0.18763;0.358398;-10;17.421;676.82;0.019934;2033.24;;;;2900
1000;0.6;1.0355079;3100000;64.8331;1.0076;1.0079;1.0002;10.817;0.20098;0.3576712;-10;18.207;685.31;0.020645;2307.64;;;;3100
2000;0;0.041179618;100050;251.1823;0.67731;0.35603;0.99679;2.5075;0.02513;0.0923191;-10;3.3293;446.07;0.011135;237.43;;;;100.05
2000;0;0.123501811;300060;132.2269;0.77955;0.54641;0.99788;3.7293;0.039676;0.1753722;-10;5.1864;507.03;0.011821;516.4;;;;300.06
2000;0;0.205803424;500020;102.8159;0.81373;0.66404;0.99839;4.5356;0.05141;0.2255383;-10;6.4755;533.84;0.012594;762.9;;;;500.02
2000;0;0.288117386;700010;89.9551;0.84507;0.7454;0.99873;5.1402;0.062969;0.2577834;-10;7.5281;554.71;0.013612;997.13;;;;700.01
2000;0;0.370431347;900000;82.4542;0.86718;0.80184;0.99898;5.666;0.074209;0.281234;-10;8.4723;570.65;0.014553;1231.99;;;;900
2000;0;0.452749424;1100000;77.5928;0.88771;0.8442;0.99918;6.1449;0.085352;0.2988541;-10;9.3536;583.96;0.015433;1472.24;;;;1100
2000;0;0.535067501;1300000;74.2772;0.90861;0.87904;0.99935;6.5912;0.09656;0.3121946;-10;10.194;595.65;0.016278;1720.55;;;;1300
2000;0;0.617385578;1500000;71.827;0.92744;0.90596;0.99949;7.0324;0.10774;0.3228444;-10;11.025;605.77;0.017023;1982.8;;;;1500
2000;0;0.699703655;1700000;70.2184;0.94335;0.93606;0.99961;7.4478;0.11937;0.33024;-10;11.836;616.09;0.017809;2257.4;;;;1700
2000;0;0.782021732;1900000;69.2714;0.95845;0.96002;0.99973;7.8244;0.13162;0.3347546;-10;12.618;627.23;0.018691;2539.99;;;;1900
2000;0;0.864339809;2100000;68.6885;0.97316;0.98331;0.99983;8.1932;0.14425;0.3375956;-10;13.398;638.08;0.019562;2837.87;;;;2100
2000;0;0.946657886;2300000;68.3502;0.98741;1.0078;0.99992;8.5563;0.15721;0.3392666;-10;14.177;648.59;0.020415;3150.16;;;;2300
2000;0;1.028975963;2500000;68.1789;1.0014;1.0331;1;8.9108;0.17045;0.3401191;-10;14.951;658.82;0.021254;3473.78;;;;2500
2000;0.2;0.040488042;100050;247.3264;0.67296;0.35226;0.99679;2.5296;0.024744;0.0937584;-10;3.3431;446.53;0.010869;73.62;;;;100.05
2000;0.2;0.121427704;300060;131.0381;0.77738;0.53779;0.99788;3.7429;0.039319;0.1769633;-10;5.1948;507.89;0.011672;273.06;;;;300.06
2000;0.2;0.202343086;500010;101.892;0.81131;0.65677;0.99839;4.5545;0.050947;0.2275835;-10;6.488;534.46;0.012429;467.39;;;;500.01
2000;0.2;0.283278702;700010;89.2439;0.84259;0.73508;0.99873;5.1586;0.062471;0.2598377;-10;7.5404;555.34;0.013456;662.28;;;;700.01
2000;0.2;0.364210271;900000;81.8713;0.86559;0.79383;0.99898;5.6843;0.073684;0.2832365;-10;8.4852;571.45;0.014403;863.03;;;;900
2000;0.2;0.445145886;1100000;77.0905;0.88568;0.83674;0.99918;6.1632;0.0848;0.3008012;-10;9.367;584.79;0.015288;1072.23;;;;1100
2000;0.2;0.526081502;1300000;73.851;0.90627;0.87331;0.99935;6.6084;0.096006;0.3139961;-10;10.208;596.62;0.016142;1291.66;;;;1300
2000;0.2;0.607017118;1500000;71.4478;0.92499;0.89984;0.99949;7.0489;0.10717;0.3245577;-10;11.038;606.83;0.016894;1525.21;;;;1500
2000;0.2;0.687952734;1700000;69.8076;0.94199;0.92866;0.99961;7.4727;0.11867;0.3321833;-10;11.856;616.78;0.017646;1773.93;;;;1700
2000;0.2;0.768888349;1900000;68.8046;0.95633;0.9545;0.99973;7.8607;0.13073;0.3370258;-10;12.647;627.39;0.018479;2033.48;;;;1900
2000;0.2;0.849823965;2100000;68.2483;0.97095;0.97707;0.99983;8.2312;0.14332;0.3397729;-10;13.429;638.21;0.019347;2308.1;;;;2100
2000;0.2;0.930759581;2300000;67.9299;0.9851;1.0007;0.99992;8.5952;0.15624;0.3413654;-10;14.209;648.68;0.020197;2597.2;;;;2300
2000;0.2;1.011695196;2500000;67.7786;0.99887;1.0248;1;8.9537;0.16945;0.3421275;-10;14.988;658.82;0.021028;2899.56;;;;2500
