Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.04529481;100020;240.9924;0.67435;0.34041;0.99701;1.8205;0.024104;0.0962227;-10;4.8407;500.16;0.014712;172.42;;;;100.02
0;0;0.135898016;300090;129.7275;0.7848;0.52255;0.9981;2.7376;0.038929;0.1787511;-10;7.6423;572.28;0.0158;386.55;;;;300.09
0;0;0.226505751;500170;101.2683;0.8209;0.64578;0.99862;3.3807;0.050651;0.2289851;-10;9.6644;602.35;0.016647;585.42;;;;500.17
0;0;0.317154243;700340;88.7361;0.85378;0.7308;0.99895;3.8777;0.062145;0.2613247;-10;11.351;626.04;0.017807;780.4;;;;700.34
0;0;0.407594421;900050;81.5764;0.87968;0.79781;0.9992;4.3095;0.073423;0.2842603;-10;12.872;644.9;0.01893;978.77;;;;900.05
0;0;0.498143284;1100000;76.9095;0.90165;0.84563;0.9994;4.7042;0.084602;0.3015094;-10;14.295;660.41;0.019983;1183.73;;;;1100
0;0;0.58871479;1300000;73.7411;0.92405;0.88571;0.99957;5.0719;0.095864;0.3144643;-10;15.655;674.21;0.021001;1397.22;;;;1300
0;0;0.679286297;1500000;71.3797;0.94429;0.91578;0.99971;5.4346;0.10707;0.3248672;-10;16.997;686.05;0.021891;1623.16;;;;1500
0;0;0.769857803;1700000;69.8056;0.96184;0.94646;0.99984;5.7827;0.11867;0.3321929;-10;18.32;697.72;0.022802;1862.89;;;;1700
0;0;0.860429309;1900000;68.8174;0.97721;0.97438;0.99995;6.1023;0.13075;0.336963;-10;19.597;710.09;0.023808;2110.57;;;;1900
0;0;0.951000815;2100000;68.2231;0.99283;0.99856;1;6.4041;0.14327;0.3398985;-10;20.849;722.66;0.024857;2368.06;;;;2100
0;0;1.041572321;2300000;67.8807;1.008;1.0241;1.0001;6.7014;0.15613;0.3416131;-10;22.1;734.88;0.025886;2639.32;;;;2300
0;0.2;0.04456822;100020;238.2708;0.66864;0.33637;0.99701;1.8323;0.023832;0.0973217;-10;4.8544;500.55;0.014452;50.55;;;;100.02
0;0.2;0.133686837;300020;128.8854;0.78263;0.51409;0.9981;2.7456;0.038668;0.179919;-10;7.6524;573.18;0.015648;203.6;;;;300.02
0;0.2;0.222800998;500010;100.6928;0.8189;0.63529;0.99861;3.3893;0.050347;0.2302938;-10;9.6757;603.22;0.016505;359.64;;;;500.01
0;0.2;0.311915159;700000;88.2513;0.85124;0.71834;0.99895;3.8885;0.061776;0.2627601;-10;11.365;626.72;0.017652;521.57;;;;700
0;0.2;0.401033776;900000;81.14;0.87804;0.78879;0.9992;4.3207;0.073026;0.2857891;-10;12.888;645.76;0.01878;691.25;;;;900
0;0.2;0.490152393;1100000;76.5317;0.89977;0.83737;0.9994;4.7153;0.084185;0.3029979;-10;14.312;661.35;0.019837;870.01;;;;1100
0;0.2;0.57927101;1300000;73.3952;0.92146;0.87748;0.99957;5.0839;0.095414;0.3159463;-10;15.674;675.1;0.020853;1059.16;;;;1300
0;0.2;0.668389627;1500000;71.0979;0.94192;0.91022;0.99971;5.4437;0.10665;0.326155;-10;17.012;687.28;0.021768;1260.7;;;;1500
0;0.2;0.757508243;1700000;69.472;0.96041;0.93887;0.99984;5.7994;0.1181;0.3337882;-10;18.346;698.41;0.022627;1478.14;;;;1700
0;0.2;0.84662686;1900000;68.4297;0.97496;0.9687;0.99995;6.1285;0.13002;0.3388725;-10;19.639;710.15;0.023573;1705.95;;;;1900
0;0.2;0.935745477;2100000;67.8612;0.99054;0.99241;1;6.4308;0.14251;0.3417112;-10;20.892;722.74;0.024622;1943.78;;;;2100
0;0.2;1.024864094;2300000;67.5282;1.0056;1.0168;1.0001;6.73;0.15531;0.3433965;-10;22.147;734.86;0.025642;2195.85;;;;2300
0;0.4;0.127662653;300020;126.0551;0.77589;0.49066;0.9981;2.7737;0.037818;0.1839588;-10;7.6877;575.5;0.01515;18.52;;;;300.02
0;0.4;0.212761159;500010;99.0498;0.81401;0.60409;0.99861;3.4088;0.049525;0.2341139;-10;9.7011;606.56;0.016144;132.26;;;;500.01
0;0.4;0.297859666;700000;86.6443;0.84405;0.68921;0.99895;3.9221;0.060651;0.2676338;-10;11.41;628.88;0.017183;260.76;;;;700
0;0.4;0.382962427;900000;79.8106;0.87263;0.75735;0.9992;4.3543;0.07183;0.2905494;-10;12.934;648.09;0.01833;402.05;;;;900
0;0.4;0.468065189;1100000;75.367;0.89446;0.81195;0.9994;4.7504;0.082904;0.3076803;-10;14.364;664.04;0.019392;554.94;;;;1100
0;0.4;0.55316795;1300000;72.329;0.91427;0.85344;0.99957;5.1218;0.094028;0.3206035;-10;15.731;677.68;0.020399;719.97;;;;1300
0;0.4;0.638270712;1500000;70.178;0.93446;0.88973;0.99971;5.4777;0.10527;0.3304302;-10;17.065;690.36;0.021354;897.88;;;;1500
0;0.4;0.723373473;1700000;68.6255;0.95346;0.92012;0.99984;5.8327;0.11666;0.3379057;-10;18.401;701.78;0.022225;1091.75;;;;1700
0;0.4;0.808476235;1900000;67.4704;0.97055;0.94616;0.99995;6.1823;0.12819;0.3436907;-10;19.725;712.16;0.02304;1299.37;;;;1900
0;0.4;0.893578997;2100000;66.7851;0.98408;0.9745;1;6.5096;0.14025;0.3472173;-10;21.02;723.17;0.023939;1520.15;;;;2100
0;0.4;0.978681758;2300000;66.4803;0.9986;0.99758;1.0001;6.8149;0.1529;0.3488089;-10;22.287;735;0.024931;1753.92;;;;2300
