Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.049062899;100000;302.8119;0.72363;0.3612;0.99699;2.9379;0.030282;0.0765787;-10;4.2767;482.73;0.011453;317.64;;;;100
0;0;0.098125797;200000;199.1006;0.78045;0.46667;0.99768;3.7195;0.039821;0.1164684;-10;5.583;525.75;0.011896;508.01;;;;200
0;0;0.147188696;300000;157.5838;0.80294;0.54481;0.99809;4.3111;0.047276;0.147153;-10;6.5759;548.12;0.012185;677.53;;;;300
0;0;0.196251595;400000;134.2094;0.81565;0.61168;0.99838;4.8271;0.053684;0.1727817;-10;7.4352;562.3;0.012357;840.23;;;;400
0;0;0.245314493;500000;120.5285;0.82837;0.66052;0.9986;5.2432;0.060264;0.1923938;-10;8.1781;575.35;0.012771;994.59;;;;500
0;0;0.294377392;600000;111.4074;0.84033;0.70218;0.99878;5.5986;0.066844;0.2081454;-10;8.8439;586.99;0.013266;1143.65;;;;600
0;0;0.34344029;700000;104.7303;0.85123;0.73955;0.99893;5.9201;0.073311;0.2214156;-10;9.4614;597.25;0.01376;1290.5;;;;700
0;0;0.392503189;800000;99.6068;0.86114;0.76888;0.99907;6.22;0.079685;0.2328046;-10;10.044;606.35;0.01424;1436.47;;;;800
0;0;0.441566088;900000;95.6863;0.87129;0.79319;0.99919;6.4959;0.086118;0.2423433;-10;10.6;614.64;0.01473;1583.67;;;;900
0;0;0.490628986;1000000;92.5285;0.88117;0.8136;0.99929;6.7567;0.092529;0.2506138;-10;11.132;622.29;0.015216;1730.72;;;;1000
0;0;0.539691885;1100000;89.9281;0.89052;0.8332;0.99939;7.0128;0.098921;0.2578608;-10;11.656;629.44;0.015673;1881.37;;;;1100
0;0;0.588754784;1200000;87.7814;0.89954;0.85115;0.99947;7.2587;0.10534;0.2641669;-10;12.166;636.05;0.016125;2033.82;;;;1200
0;0;0.637817682;1300000;85.9631;0.90807;0.86761;0.99955;7.5016;0.11175;0.2697546;-10;12.67;642.18;0.016553;2189.95;;;;1300
0;0;0.686880581;1400000;84.3757;0.91594;0.88021;0.99963;7.7456;0.11813;0.2748294;-10;13.173;647.75;0.016946;2350.55;;;;1400
0;0;0.73594348;1500000;83.0526;0.92285;0.89251;0.9997;7.9848;0.12458;0.2792076;-10;13.67;653.18;0.017339;2514.55;;;;1500
0;0;0.785006378;1600000;82.0834;0.92925;0.90701;0.99976;8.2138;0.13133;0.2825045;-10;14.166;659.01;0.017766;2684.4;;;;1600
0;0;0.834069277;1700000;81.237;0.93537;0.92146;0.99982;8.4419;0.1381;0.2854477;-10;14.659;664.59;0.018177;2857.79;;;;1700
0;0;0.883132175;1800000;80.5638;0.94156;0.9348;0.99988;8.6623;0.14501;0.2878331;-10;15.145;670.26;0.018601;3034.07;;;;1800
0;0;0.932195074;1900000;80.096;0.94823;0.94596;0.99993;8.8682;0.15218;0.2895141;-10;15.62;676.37;0.019067;3211.8;;;;1900
0;0;0.981257973;2000000;79.7213;0.95471;0.95709;0.99998;9.0733;0.15944;0.2908751;-10;16.096;682.33;0.019525;3394.08;;;;2000
0;0;1.030320871;2100000;79.4696;0.96113;0.96829;1;9.2806;0.16689;0.2917964;-10;16.578;688.25;0.019981;3583.82;;;;2100
0;0.1;0.04884482;100000;301.5219;0.72315;0.36028;0.99699;2.9453;0.030153;0.0769063;-10;4.282;482.79;0.011375;219.72;;;;100
0;0.1;0.09768964;200000;198.4945;0.77994;0.465;0.99768;3.7247;0.0397;0.1168241;-10;5.5864;525.85;0.011843;383.88;;;;200
0;0.1;0.14653446;300000;157.261;0.80287;0.5425;0.99809;4.3141;0.047179;0.147455;-10;6.578;548.37;0.012151;533.57;;;;300
0;0.1;0.19537928;400000;133.9186;0.81552;0.6092;0.99838;4.831;0.053568;0.1731569;-10;7.4379;562.51;0.012321;679.08;;;;400
