Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (W)
0;0;0.05;100020;305.97;0.73;0.36;1;2.86;0.03;0.08;0;4.23;497.92;0.01;312.65;;;100.02
0;0;0.11;200040;201.29;0.79;0.47;1;3.63;0.04;0.12;0;5.53;542.53;0.01;500.7;;;200.04
0;0;0.16;300090;159.42;0.82;0.55;1;4.2;0.05;0.15;0;6.51;565.82;0.01;667.41;;;300.09
0;0;0.22;400090;135.71;0.83;0.62;1;4.7;0.05;0.17;0;7.36;580.42;0.01;827.83;;;400.09
0;0;0.27;500200;121.71;0.84;0.67;1;5.11;0.06;0.19;0;8.1;593.69;0.01;980.47;;;500.2
0;0;0.32;600180;112.48;0.85;0.71;1;5.46;0.07;0.21;0;8.76;605.55;0.01;1126.88;;;600.18
0;0;0.38;700070;105.74;0.86;0.75;1;5.77;0.07;0.22;0;9.37;616.14;0.01;1271.91;;;700.07
0;0;0.43;800030;100.59;0.87;0.78;1;6.06;0.08;0.23;0;9.95;625.51;0.01;1416.44;;;800.03
0;0;0.49;900030;96.59;0.88;0.8;1;6.34;0.09;0.24;0;10.5;634.03;0.02;1561.64;;;900.03
0;0;0.54;1000000;93.41;0.89;0.82;1;6.59;0.09;0.25;0;11.02;641.88;0.02;1706.36;;;1000
0;0;0.6;1100000;90.77;0.9;0.84;1;6.84;0.1;0.26;0;11.54;649.2;0.02;1854.38;;;1100
0;0;0.65;1200000;88.59;0.91;0.86;1;7.08;0.11;0.26;0;12.04;656;0.02;2004.42;;;1200
0;0;0.7;1300000;86.76;0.92;0.88;1;7.31;0.11;0.27;0;12.54;662.38;0.02;2157.72;;;1300
0;0;0.76;1400000;85.15;0.93;0.89;1;7.55;0.12;0.27;0;13.03;668.08;0.02;2315.26;;;1400
0;0;0.81;1500000;83.8;0.94;0.91;1;7.78;0.13;0.28;0;13.52;673.58;0.02;2476.72;;;1500
0;0;0.87;1600000;82.77;0.94;0.92;1;8;0.13;0.28;0;14.01;679.42;0.02;2643.01;;;1600
0;0;0.92;1700000;81.91;0.95;0.93;1;8.23;0.14;0.28;0;14.5;685.13;0.02;2812.91;;;1700
0;0;0.97;1800000;81.18;0.96;0.95;1;8.45;0.15;0.29;0;14.98;690.65;0.02;2987.67;;;1800
0;0;1;1847000;80.73;0.96;0.96;1;8.65;0.15;0.29;0;15.45;696.93;0.02;3163.58;;;1847
0;0.1;0.05;100020;304.61;0.73;0.36;1;2.87;0.03;0.08;0;4.24;497.94;0.01;215.37;;;100.02
0;0.1;0.11;200040;200.77;0.79;0.47;1;3.63;0.04;0.12;0;5.54;542.7;0.01;377.86;;;200.04
0;0.1;0.16;300040;159.12;0.82;0.55;1;4.2;0.05;0.15;0;6.51;566.07;0.01;524.63;;;300.04
0;0.1;0.22;400040;135.53;0.83;0.61;1;4.71;0.05;0.17;0;7.37;580.78;0.01;668.4;;;400.04
0;0.1;0.27;500030;121.47;0.84;0.67;1;5.12;0.06;0.19;0;8.1;593.85;0.01;806.79;;;500.03
0;0.1;0.32;600030;112.31;0.85;0.71;1;5.46;0.07;0.21;0;8.76;605.76;0.01;942.27;;;600.03
0;0.1;0.38;700010;105.57;0.86;0.75;1;5.78;0.07;0.22;0;9.38;616.35;0.01;1076.7;;;700.01
0;0.1;0.43;800000;100.43;0.87;0.78;1;6.07;0.08;0.23;0;9.95;625.73;0.01;1211.4;;;800
0;0.1;0.48;900000;96.44;0.88;0.8;1;6.34;0.09;0.24;0;10.51;634.24;0.02;1347.57;;;900
0;0.1;0.54;1000000;93.27;0.89;0.82;1;6.6;0.09;0.25;0;11.03;642.09;0.02;1483.84;;;1000
0;0.1;0.59;1100000;90.65;0.9;0.84;1;6.84;0.1;0.26;0;11.55;649.43;0.02;1623.47;;;1100
0;0.1;0.65;1200000;88.48;0.91;0.86;1;7.08;0.11;0.26;0;12.05;656.24;0.02;1765.53;;;1200
0;0.1;0.7;1300000;86.66;0.92;0.88;1;7.32;0.11;0.27;0;12.55;662.63;0.02;1910.87;;;1300
0;0.1;0.75;1400000;85.06;0.93;0.89;1;7.55;0.12;0.27;0;13.04;668.4;0.02;2060.36;;;1400
0;0.1;0.81;1500000;83.7;0.94;0.9;1;7.79;0.13;0.28;0;13.53;673.86;0.02;2214.05;;;1500
0;0.1;0.86;1600000;82.67;0.94;0.92;1;8.01;0.13;0.28;0;14.02;679.64;0.02;2373.06;;;1600
0;0.1;0.92;1700000;81.82;0.95;0.93;1;8.23;0.14;0.28;0;14.51;685.37;0.02;2535.7;;;1700
0;0.1;0.97;1800000;81.09;0.96;0.95;1;8.45;0.15;0.29;0;14.99;690.89;0.02;2702.94;;;1800
0;0.1;1.02;1900000;80.62;0.96;0.96;1;8.66;0.15;0.29;0;15.47;697;0.02;2872.88;;;1900
0;0.2;0.05;100020;300.52;0.73;0.36;1;2.89;0.03;0.08;0;4.25;498.02;0.01;117.56;;;100.02
