Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (W)
0;0;0.054140955;100020;305.9656;0.73431;0.36437;0.99699;2.8642;0.030603;0.0757893;0;4.2343;497.92;0.011872;312.65;;;100.02
0;0;0.10828191;200040;201.2855;0.79299;0.47117;0.99768;3.6278;0.040266;0.1152042;0;5.5306;542.53;0.012333;500.7;;;200.04
0;0;0.162439104;300090;159.4218;0.81627;0.54968;0.99809;4.2006;0.047842;0.1454565;0;6.5104;565.82;0.012655;667.41;;;300.09
0;0;0.216569232;400090;135.7061;0.82909;0.61744;0.99838;4.7044;0.054294;0.1708761;0;7.3613;580.42;0.012824;827.83;;;400.09
0;0;0.270758904;500200;121.7127;0.84173;0.6684;0.9986;5.114;0.06088;0.1905219;0;8.0995;593.69;0.013227;980.47;;;500.2
0;0;0.324878207;600180;112.4822;0.85378;0.70902;0.99878;5.4589;0.06751;0.2061564;0;8.7554;605.55;0.013741;1126.88;;;600.18
0;0;0.378948793;700070;105.7355;0.86478;0.74771;0.99893;5.7737;0.074022;0.2193107;0;9.3679;616.14;0.014245;1271.91;;;700.07
0;0;0.43305727;800030;100.5908;0.87489;0.77817;0.99907;6.0648;0.080475;0.2305275;0;9.9456;625.51;0.014744;1416.44;;;800.03
0;0;0.487187399;900030;96.5912;0.88491;0.80361;0.99919;6.3372;0.086935;0.2400728;0;10.497;634.03;0.015242;1561.64;;;900.03
0;0;0.541301288;1000000;93.4112;0.89488;0.82413;0.99929;6.5901;0.093412;0.2482456;0;11.022;641.88;0.01575;1706.36;;;1000
0;0;0.595431417;1100000;90.7748;0.90434;0.84408;0.99939;6.8385;0.099853;0.2554556;0;11.538;649.2;0.016224;1854.38;;;1100
0;0;0.649561546;1200000;88.5947;0.91342;0.86219;0.99947;7.0778;0.10631;0.2617418;0;12.041;656;0.01669;2004.42;;;1200
0;0;0.703691675;1300000;86.7628;0.92214;0.87992;0.99955;7.3124;0.11279;0.2672681;0;12.538;662.38;0.017138;2157.72;;;1300
0;0;0.757821804;1400000;85.1522;0.93011;0.89256;0.99963;7.5485;0.11921;0.2723233;0;13.033;668.08;0.017548;2315.26;;;1400
0;0;0.811951932;1500000;83.796;0.93741;0.90502;0.9997;7.781;0.12569;0.2767309;0;13.524;673.58;0.017949;2476.72;;;1500
0;0;0.866082061;1600000;82.7748;0.94377;0.91884;0.99976;8.0048;0.13244;0.280145;0;14.011;679.42;0.018383;2643.01;;;1600
0;0;0.92021219;1700000;81.9141;0.94997;0.93331;0.99982;8.2253;0.13925;0.2830884;0;14.495;685.13;0.018811;2812.91;;;1700
0;0;0.974342319;1800000;81.1841;0.95594;0.94775;0.99988;8.4456;0.14613;0.285634;0;14.98;690.65;0.019225;2987.67;;;1800
